english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
koan,The Zen teacher offered a paradoxical koan that the novice would ponder for many weeks.,선문답,선사는 초심자가 수 주간 사색할 역설적 선문답을 주었다.,公案,禅師は新人が数週間考える逆説的な公案を出した。,公案,禅师抛出一则悖论公案让初学者沉思数周。,koan,El maestro ofreció un koan paradójico al novicio.,công án,Thiền sư đưa công án nghịch lý cho người mới suy ngẫm.,ปริศนาธรรม,อาจารย์เซนให้ปริศนาธรรมที่ขัดแย้งให้ขบคิด,koan,Guru zen memberi koan paradoks untuk direnungkan pemula.
kvetch,She would kvetch about the cramped office to anyone willing to spare even a sympathetic moment.,투덜대다,그녀는 좁은 사무실에 대해 시간이 있는 누구에게나 투덜댔다.,愚痴をこぼす,彼女は誰彼構わず狭い事務所について愚痴をこぼした。,抱怨,她对任何愿听者抱怨办公室狭小。,quejarse,Solía quejarse de la oficina apretada con todos.,phàn nàn,Cô phàn nàn về văn phòng chật với bất kỳ ai chịu nghe.,บ่นพึมพำ,เธอบ่นพึมพำเรื่องออฟฟิศแคบกับใครก็ตามที่ฟัง,mengeluh,Dia mengeluh soal kantor sempit kepada siapa saja.
labile,The patient's labile emotional state required constant monitoring by the psychiatric nursing staff.,불안정한,환자의 불안정한 정서 상태는 정신과 간호진의 지속 관찰이 필요했다.,不安定な,患者の不安定な感情は精神科看護師の常時観察を要した。,易变的,患者易变的情绪需要精神科护理人员持续观察。,lábil,El estado lábil exigía vigilancia constante.,bất ổn,Trạng thái cảm xúc bất ổn cần theo dõi liên tục.,เปลี่ยนแปลงง่าย,อารมณ์เปลี่ยนแปลงง่ายของคนไข้ต้องเฝ้าระวัง,labil,Kondisi emosional labil pasien butuh pemantauan terus.
laceration,The deep laceration on her forearm required twenty-six stitches and weeks of careful recovery.,열상,그녀의 팔뚝의 깊은 열상은 26바늘과 수 주의 회복이 필요했다.,裂傷,前腕の深い裂傷は26針と数週間の回復を要した。,撕裂伤,她前臂的深撕裂伤需要二十六针和数周恢复。,laceración,La profunda laceración requirió veintiséis puntos.,vết rách,Vết rách sâu trên cẳng tay cần hai mươi sáu mũi.,บาดแผลฉีก,บาดแผลฉีกลึกที่แขนต้องเย็บยี่สิบหกเข็ม,robekan dalam,Robekan dalam di lengan butuh dua puluh enam jahitan.
lachrymal,The doctor diagnosed a blockage in the lachrymal duct that produced her persistent watery eye.,눈물의,의사는 그녀의 만성 눈물 흘림의 원인을 눈물의 관 막힘으로 진단했다.,涙の,医師は涙の管の閉塞を診断した。,泪的,医生诊断她持续流泪是因泪的导管堵塞。,lagrimal,El médico diagnosticó obstrucción del conducto lagrimal.,thuộc nước mắt,Bác sĩ chẩn đoán tắc ống thuộc nước mắt gây chảy nước.,เกี่ยวกับน้ำตา,หมอวินิจฉัยท่อเกี่ยวกับน้ำตาอุดตัน,kelenjar air mata,Dokter mendiagnosis sumbatan kelenjar air mata.
lacuna,A puzzling lacuna in the manuscript prevented scholars from reconstructing the missing chapter.,공백,사본의 알 수 없는 공백이 학자들이 잃어버린 장을 재구성하지 못하게 했다.,空白,写本の空白は学者が失われた章を復元するのを妨げた。,空缺,手稿中令人困惑的空缺让学者无法复原失踪章节。,laguna,Una laguna desconcertante impedía reconstruir el capítulo.,khoảng trống,Khoảng trống bí ẩn trong bản thảo ngăn dựng lại chương.,ช่องว่าง,ช่องว่างน่าฉงนในต้นฉบับขัดขวางการสร้างใหม่,celah,Celah membingungkan di naskah menghambat rekonstruksi.
lacunae,Multiple lacunae in the historical record forced the biographer to rely on careful inference.,결락,역사 기록의 여러 결락이 전기 작가가 추론에 의존하게 만들었다.,欠落,歴史記録の複数の欠落で伝記作家は推測に頼った。,缺漏,历史记录中的多处缺漏迫使传记作者依赖推断。,lagunas,Las múltiples lagunas obligaron a deducir.,các khoảng trống,Nhiều khoảng trống lịch sử buộc người viết phải suy luận.,ช่องว่างหลายแห่ง,ช่องว่างหลายแห่งในประวัติศาสตร์บังคับให้นักเขียนคาดเดา,kekosongan,Banyak kekosongan dalam catatan memaksa biografer menyimpulkan.
laggard,The laggard runner finally crossed the finish line long after the medal ceremony had concluded.,느림보,느림보 주자는 시상식이 끝난 후에야 결승선을 통과했다.,遅れる者,遅れる者は表彰式の後に漸くゴールした。,落后者,落后者在颁奖礼结束许久才冲过终点线。,rezagado,El rezagado cruzó la meta tras la ceremonia.,người chậm chạp,Vận động viên chậm chạp về đích sau lễ trao giải.,คนรั้งท้าย,คนรั้งท้ายเข้าเส้นชัยหลังพิธีมอบเหรียญ,pelari ekor,Pelari ekor mencapai garis finis lama setelah penghargaan.
lagniappe,The shopkeeper added a small lagniappe of chocolate to every order over twenty dollars.,덤,가게 주인은 20달러 이상 주문마다 작은 덤으로 초콜릿을 더했다.,おまけ,店主は20ドル以上の注文にチョコのおまけを添えた。,赠品,店主对每张超过二十美元的订单赠以小赠品巧克力。,ñapa,El tendero añadía una ñapa de chocolate.,quà tặng kèm,Chủ tiệm thêm quà tặng kèm sô cô la cho đơn trên 20 đô.,ของแถม,เจ้าของร้านแถมช็อกโกแลตให้ลูกค้าที่ซื้อเกินยี่สิบดอลลาร์,bonus,Pemilik toko menambah bonus cokelat tiap belanja lebih dua puluh dolar.
laic,The seminary increasingly relied on dedicated laic volunteers to staff its community outreach programs.,세속의,신학교는 지역 봉사 사업을 위해 점차 세속의 자원봉사자에 의존했다.,世俗の,神学校は地域奉仕に世俗の志願者へ依存した。,世俗的,神学院日益依靠世俗的志愿者支持社区项目。,laico,El seminario dependía de voluntarios laicos.,thế tục,Chủng viện ngày càng dựa vào tình nguyện viên thế tục.,ฆราวาส,เซมินารีพึ่งอาสาฆราวาสในงานชุมชน,awam,Seminari makin mengandalkan relawan awam untuk pelayanan.
laity,The cathedral expanded its programs to involve the laity in regular pastoral decisions.,평신도,대성당은 평신도가 사목 결정에 참여하도록 프로그램을 확대했다.,信徒,大聖堂は信徒の参加を司牧決定に拡げた。,平信徒,大教堂扩展项目让平信徒参与牧灵决策。,laicado,La catedral integró al laicado en decisiones.,giáo dân,Thánh đường mở rộng để giáo dân tham gia quyết định.,ฆราวาส,วิหารขยายโครงการให้ฆราวาสร่วมตัดสินใจ,umat awam,Katedral memperluas peran umat awam dalam keputusan.
lambent,A lambent flame danced atop the candle wick throughout the long quiet vigil.,일렁이는,초 심지 위에서 일렁이는 불꽃이 긴 침묵의 밤 내내 춤추었다.,揺らめく,蝋燭の上で揺らめく炎が長い徹夜を照らした。,闪烁的,烛芯上闪烁的火苗在漫长守夜中起舞。,parpadeante,Una llama parpadeante bailaba sobre la mecha.,lập lòe,Ngọn lửa lập lòe nhảy múa trên bấc nến suốt đêm.,วูบไหว,เปลวเทียนวูบไหวเต้นรำตลอดคืนสงัด,berkilauan,Nyala berkilauan menari di atas sumbu lilin sepanjang malam.
lampooner,The notorious lampooner spared no public figure regardless of party affiliation or accumulated rank.,풍자가,그 악명 높은 풍자가는 당이나 지위와 상관없이 공인을 봐주지 않았다.,風刺家,悪名高い風刺家は政党や地位を問わず公人を風刺した。,讽刺作家,这位声名狼藉的讽刺作家无视党派和资历嘲讽公众人物。,satírico,El satírico no perdonaba a nadie sin importar partido.,người châm biếm,Người châm biếm không tha bất kỳ nhân vật công nào.,นักเสียดสี,นักเสียดสีไม่ละเว้นบุคคลสำคัญไม่ว่าจะพรรคใด,penyindir,Penyindir terkenal tak pandang bulu untuk pejabat mana pun.
lapidary,The art critic praised the novelist's lapidary style and her precisely chosen vocabulary.,간결한,미술 비평가는 그 소설가의 간결한 문체와 정확한 어휘를 칭찬했다.,簡潔な,美術評論家は小説家の簡潔な文体と精選語彙を称賛した。,精雕的,艺评家赞赏小说家精雕的文风和精挑词汇。,lapidario,El crítico elogió el estilo lapidario de la novelista.,súc tích,Nhà phê bình ca ngợi văn phong súc tích và từ ngữ chuẩn xác.,กระชับคม,นักวิจารณ์ชมสำนวนกระชับคมและศัพท์แม่นยำ,padat,Kritikus memuji gaya padat dan kosakata cermatnya.
larcenous,A larcenous gleam appeared in his eye whenever he passed the unlocked storeroom door.,도벽이 있는,그의 눈에 잠기지 않은 창고를 지날 때마다 도벽이 있는 빛이 어렸다.,盗癖のある,鍵のかからない倉庫を通るたび彼の目に盗癖のある光が宿った。,有盗心的,他每次经过未上锁的库房眼中就闪过有盗心的光。,larcenoso,Un brillo larcenoso aparecía cuando pasaba el almacén.,trộm cắp,Tia trộm cắp lóe trong mắt anh mỗi khi qua kho mở.,ลักขโมย,แววตาลักขโมยปรากฏทุกครั้งที่ผ่านห้องเก็บที่ไม่ล็อก,suka mencuri,Kilatan suka mencuri muncul tiap dia melewati gudang.
lares,Ancient Romans regularly offered small libations to the lares of their family hearth.,가신,고대 로마인은 가정의 가신에게 작은 헌주를 정기적으로 바쳤다.,家神,古代ローマ人は家神に定期的に小さな献酒をした。,家神,古罗马人定期向家中的家神献上微酒。,lares,Los romanos ofrecían libaciones a los lares.,thần bản gia,Người La Mã cổ thường dâng rượu cho thần bản gia.,เทพประจำบ้าน,ชาวโรมันมักถวายเหล้าให้เทพประจำบ้าน,dewa rumah,Bangsa Romawi mempersembahkan minuman pada dewa rumah.
lascar,Each lascar aboard the East India ship hailed from a different coastal Indian village.,동인도 선원,동인도 선박의 각 동인도 선원은 서로 다른 인도 해안 마을 출신이었다.,東インド水夫,東インド船の各東インド水夫は異なる村出身だった。,印度水手,东印度公司船上的每名印度水手都来自不同沿海村庄。,lascar,Cada lascar provenía de una aldea costera distinta.,thủy thủ Ấn,Mỗi thủy thủ Ấn trên tàu Đông Ấn từ làng ven biển khác nhau.,กะลาสีอินเดีย,กะลาสีอินเดียบนเรือมาจากหมู่บ้านคนละแห่ง,pelaut India,Setiap pelaut India di kapal berasal dari desa berbeda.
laudation,Critics offered effusive laudation for the documentary's unflinching humanity and meticulous craft.,찬사,비평가들은 다큐멘터리의 단호한 인간애와 정교한 솜씨에 열렬한 찬사를 보냈다.,賞賛,批評家は作品の人間味と緻密さに熱い賞賛を送った。,赞颂,评论家对该纪录片坚定的人文与匠心给予热烈赞颂。,laudación,Los críticos ofrecieron efusivas laudaciones.,sự ca ngợi,Phê bình dành sự ca ngợi nồng nhiệt cho phim tài liệu.,การยกย่อง,นักวิจารณ์มอบการยกย่องอย่างเต็มที่แก่สารคดี,pujian,Kritikus memberi pujian melimpah untuk dokumenter itu.
lazaretto,The medieval port maintained a small lazaretto on the outer islet for inbound plague suspects.,격리 병원,중세 항구는 외딴 섬에 페스트 의심자를 위한 작은 격리 병원을 두었다.,検疫所,中世の港は外島に疫病疑い者用の検疫所を置いた。,检疫所,中世纪港口在外岛设有小型检疫所收容瘟疫嫌疑者。,lazareto,El puerto medieval tenía un lazareto en el islote.,trạm cách ly,Cảng trung cổ duy trì trạm cách ly nhỏ trên đảo nhỏ.,สถานกักโรค,ท่าเรือยุคกลางมีสถานกักโรคบนเกาะนอก,karantina,Pelabuhan abad pertengahan punya karantina di pulau luar.
leach,Persistent rainfall can leach essential mineral nutrients downward through the topsoil layer.,스며 나오게 하다,지속된 비는 필수 미네랄을 표토층에서 아래로 스며 나오게 한다.,溶出させる,降り続く雨は表土から必須ミネラルを溶出させる。,沥滤,持续降雨会将必需矿物从表土沥滤到下层。,lixiviar,La lluvia lixivia minerales del suelo superior.,rửa trôi,Mưa dai dẳng rửa trôi khoáng chất xuống lớp dưới.,ชะล้าง,ฝนต่อเนื่องชะล้างแร่ธาตุจากหน้าดินลงลึก,melarutkan,Hujan terus melarutkan mineral dari tanah atas.
leaven,A pinch of yeast will leaven the dense dough overnight into a light airy loaf.,발효시키다,약간의 효모가 밤사이 빽빽한 반죽을 가벼운 빵으로 발효시킨다.,膨らませる,少量の酵母が一晩で生地を軽く膨らませる。,使发酵,一点酵母可让密实面团整夜发酵成轻盈面包。,leudar,Una pizca de levadura leudará la masa de noche.,làm nở,Một chút men sẽ làm nở bột nặng thành ổ bánh nhẹ.,ทำให้ขึ้นฟู,ยีสต์เล็กน้อยทำให้แป้งหนักขึ้นฟูเป็นขนมเบา,mengembangkan,Sedikit ragi mengembangkan adonan padat semalaman.
lectern,The visiting scholar gripped the lectern firmly while delivering her painstakingly researched lecture.,강연대,방문 학자는 면밀히 연구한 강연을 하며 강연대를 단단히 잡았다.,演壇,訪問学者は綿密に研究した講義のため演壇を握った。,讲台,访问学者紧握讲台进行她精心研究的演讲。,atril,La académica se aferraba al atril durante su charla.,bục giảng,Học giả khách giữ chặt bục giảng khi giảng bài nghiên cứu.,แท่นบรรยาย,นักวิชาการรับเชิญจับแท่นบรรยายแน่นขณะพูด,mimbar,Akademisi tamu mencengkeram mimbar saat berceramah.
lection,Each Sunday morning the congregation listened attentively to a different selected lection from scripture.,성경 봉독,일요일 아침마다 신자들은 다른 성경 봉독을 경청했다.,聖書朗読,毎週日曜日会衆は別の聖書朗読に耳を傾けた。,经文朗读,每周日早晨会众都聆听不同的经文朗读。,lectura,Cada domingo escuchaban una lectura bíblica distinta.,bài đọc Kinh,Mỗi sáng Chủ nhật giáo dân nghe bài đọc Kinh khác nhau.,การอ่านพระคัมภีร์,ทุกเช้าวันอาทิตย์ที่ประชุมฟังการอ่านพระคัมภีร์,bacaan kitab,Setiap Minggu jemaat menyimak bacaan kitab berbeda.
legate,The papal legate negotiated for weeks before any meaningful diplomatic concession was finally secured.,교황 사절,교황 사절은 의미 있는 외교적 양보가 마련되기 전 수 주 동안 협상했다.,教皇使節,教皇使節は意味ある譲歩を得る前に数週間交渉した。,使节,教皇使节经过数周谈判才取得有意义的让步。,legado,El legado papal negoció durante semanas.,sứ thần,Sứ thần giáo hoàng đàm phán nhiều tuần trước khi đạt nhượng bộ.,ผู้แทนพระสันตะปาปา,ผู้แทนพระสันตะปาปาเจรจาหลายสัปดาห์,utusan paus,Utusan paus berunding berminggu sebelum konsesi tercapai.
legation,The Swiss legation hosted quiet talks between the two sides that had refused all direct contact.,공사관,스위스 공사관은 직접 대화를 거부하던 양측의 조용한 회담을 주최했다.,公使館,スイス公使館は直接接触を拒んだ両者の静かな会談を主催した。,公使馆,瑞士公使馆主持了双方拒绝直接接触的低调会谈。,legación,La legación suiza acogió las conversaciones discretas.,phái bộ ngoại giao,Phái bộ ngoại giao Thụy Sĩ tổ chức đối thoại kín.,สถานทูต,สถานทูตสวิสจัดเจรจาเงียบระหว่างสองฝ่าย,perwakilan diplomatik,Perwakilan diplomatik Swiss memfasilitasi pembicaraan rahasia.
leisurely,She took a leisurely stroll along the riverbank as the late afternoon light softened.,한가로운,그녀는 오후 햇살이 부드러워질 때 강변을 한가로운 산책을 했다.,のんびりとした,夕方の光が和らぐ頃彼女は川辺をのんびりとした散歩をした。,悠闲的,午后阳光柔和时她沿河岸悠闲漫步。,pausado,Dio un paseo pausado por la orilla del río.,thong thả,Cô đi dạo thong thả bên sông khi chiều tà.,เรื่อยๆ,เธอเดินเล่นเรื่อยๆ ริมแม่น้ำตอนบ่ายแก่,santai,Dia berjalan santai di tepi sungai saat senja menjelang.
leitmotif,The unmistakable leitmotif returned every time the hero appeared on the operatic stage.,주제곡,영웅이 무대에 나타날 때마다 분명한 주제곡이 다시 흘렀다.,ライトモティーフ,主人公が舞台に現れる度に明確なライトモティーフが流れた。,主旋律,每当英雄登台标志性主旋律便再次响起。,leitmotiv,El inconfundible leitmotiv volvía con cada aparición.,nhạc chủ đề,Nhạc chủ đề rõ ràng vang lên mỗi lần người hùng xuất hiện.,ทำนองหลัก,ทำนองหลักดังขึ้นทุกครั้งที่ฮีโรปรากฏ,leitmotif,Leitmotif khas berulang setiap pahlawan muncul di panggung.
lemma,The mathematician proved a small lemma that would later become central to her broader theorem.,보조정리,수학자는 후에 큰 정리의 중심이 될 작은 보조정리를 증명했다.,補題,数学者は後に主定理の核となる小さな補題を証明した。,引理,数学家证明了一个小引理后来成为更大定理的核心。,lema,Demostró un pequeño lema clave para su teorema.,bổ đề,Nhà toán học chứng minh bổ đề nhỏ về sau là trung tâm.,บทตั้ง,นักคณิตศาสตร์พิสูจน์บทตั้งเล็กที่ต่อมาสำคัญมาก,lema,Matematikawan membuktikan lema kecil yang lalu jadi inti teorema.
leonine,The senator's leonine mane of silver hair had become a fixture on every political magazine cover.,사자 같은,그 상원의원의 사자 같은 은빛 머리카락은 정치 잡지 표지의 단골이 되었다.,獅子のような,上院議員の獅子のような銀髪は政治雑誌の表紙の定番となった。,狮子般的,议员狮子般的银发成为政治杂志封面常客。,leonino,La melena leonina del senador adornaba portadas.,giống sư tử,Bờm tóc bạc giống sư tử của thượng nghị sĩ thành biểu tượng.,เหมือนสิงโต,ทรงผมเงินเหมือนสิงโตของวุฒิสมาชิกขึ้นปกบ่อย,bagai singa,Rambut perak bagai singa senator menghiasi sampul majalah.
leprechaun,Irish folklore describes the leprechaun as a tiny shoemaker fiercely guarding a hidden pot of gold.,레프러콘,아일랜드 민담은 레프러콘을 황금 단지를 지키는 작은 구두장이로 그린다.,レプラコーン,アイルランド民話のレプラコーンは黄金の壷を守る小さな靴職人だ。,矮妖,爱尔兰传说中矮妖是守护金壶的小鞋匠。,leprechaun,El folclore irlandés describe al leprechaun.,yêu tinh,Truyện dân gian Ireland tả yêu tinh là thợ giày nhỏ giữ vàng.,เลพริคอน,ตำนานไอริชเล่าเรื่องเลพริคอนผู้รักษาหม้อทอง,leprechaun,Cerita rakyat Irlandia menyebut leprechaun penjaga emas.
lesion,The neurologist identified a small lesion on the brain scan that explained her recurring symptoms.,병변,신경과의는 그녀의 반복 증상의 원인이 되는 작은 병변을 영상에서 확인했다.,病変,神経科医は再発症状の原因となる小さな病変を画像で確認した。,病灶,神经科医生在脑扫描中发现解释复发症状的小病灶。,lesión,El neurólogo identificó una pequeña lesión cerebral.,tổn thương,Bác sĩ thần kinh phát hiện tổn thương nhỏ trên ảnh não.,รอยโรค,หมอประสาทเห็นรอยโรคเล็กบนภาพสมอง,lesi,Neurolog menemukan lesi kecil di pemindaian otak.
lettered,The lettered scholar held court with visitors from three continents in her private library.,학식 있는,그 학식 있는 학자는 사설 도서관에서 세 대륙의 방문객을 맞았다.,博学な,博学な学者は私設図書館で三大陸の客を迎えた。,有学问的,有学问的学者在私人图书馆接待三大洲来访者。,letrado,La letrada erudita recibía visitantes en su biblioteca.,uyên bác,Học giả uyên bác tiếp khách từ ba lục địa tại thư phòng.,รอบรู้,นักวิชาการรอบรู้ต้อนรับแขกจากสามทวีปในห้องสมุดส่วนตัว,terpelajar,Cendekiawan terpelajar menerima tamu dari tiga benua.
levant,The shipping merchant traded actively across the Levant ports during the Renaissance commercial expansion.,동지중해 지역,그 무역상은 르네상스 통상 확장기에 동지중해 지역 항구들을 활발히 오갔다.,レヴァント,商人はルネサンス期にレヴァントの港を活発に往来した。,黎凡特,商人在文艺复兴贸易扩张时往来于黎凡特各港。,Levante,El comerciante operaba en los puertos del Levante.,vùng Cận Đông,Thương nhân giao dịch khắp vùng Cận Đông thời Phục Hưng.,เลแวนต์,พ่อค้าค้าขายในท่าเลแวนต์ยุคเรอเนซองส์,Levant,Pedagang aktif di pelabuhan Levant saat Renaisans.
levee,The newly reinforced levee held back the swollen river through three consecutive nights of heavy storms.,제방,새로 보강된 제방이 세 밤 연속 폭풍 속 강물 범람을 막았다.,堤防,新たに補強された堤防は三晩続いた嵐で氾濫を防いだ。,堤坝,新加固的堤坝抵住连续三晚暴风雨中暴涨的河水。,dique,El dique reforzado contuvo el río tres noches.,đê,Con đê mới gia cố giữ được dòng nước lũ ba đêm liên tiếp.,เขื่อน,เขื่อนเสริมใหม่กั้นน้ำหลากได้สามคืนติด,tanggul,Tanggul yang diperkuat menahan sungai tiga malam.
leveler,Universal literacy was once seen as a powerful leveler of class and economic privilege.,평등화 요인,보편적 문해는 한때 계급과 경제 특권의 강력한 평등화 요인으로 여겨졌다.,平等化するもの,普通教育は階級と経済特権を平等化するものとされた。,平等化因素,普及识字曾被视为消除阶级与经济特权的有力平等化因素。,nivelador,La alfabetización fue un poderoso nivelador.,yếu tố san bằng,Phổ cập biết chữ từng được coi là yếu tố san bằng giai cấp.,สิ่งทำให้เท่าเทียม,การรู้หนังสือเคยถูกมองเป็นสิ่งทำให้เท่าเทียม,penyetara,Literasi universal pernah dipandang penyetara kelas.
libretto,The composer worked closely with the playwright on the libretto for over two productive years.,대본,작곡가는 극작가와 함께 2년 넘게 대본을 협업했다.,台本,作曲家は劇作家と二年以上台本を共作した。,剧本,作曲家与剧作家紧密合作两年完成剧本。,libreto,El compositor trabajó dos años con el dramaturgo.,kịch bản,Nhà soạn nhạc làm việc với nhà viết kịch hơn hai năm trên kịch bản.,บท,นักประพันธ์เพลงทำงานกับนักเขียนบทกว่าสองปี,naskah opera,Komposer bekerja dengan dramawan untuk naskah opera dua tahun.
ligature,The surgeon applied a careful ligature to stop bleeding from the small arterial branch.,결찰사,외과의는 작은 동맥 분지 출혈을 막기 위해 신중히 결찰사를 사용했다.,結紮,外科医は小さな動脈分枝の出血止血のため結紮した。,结扎,外科医生小心地用结扎止住小动脉分支出血。,ligadura,El cirujano colocó una ligadura cuidadosa.,thắt mạch,Bác sĩ phẫu thuật cẩn thận thắt mạch ngừng chảy máu.,การผูกหลอดเลือด,ศัลยแพทย์ผูกหลอดเลือดเล็กเพื่อหยุดเลือด,ikatan jahitan,Ahli bedah memasang ikatan jahitan untuk menghentikan perdarahan.
limn,The biographer attempted to limn the inner life of a notoriously private composer.,묘사하다,전기 작가는 사생활을 극도로 감춘 작곡가의 내면을 묘사하려 했다.,描く,伝記作家は秘密主義の作曲家の内面を描こうとした。,描绘,传记作家试图描绘极度保密的作曲家的内心。,esbozar,La biógrafa intentó esbozar la vida íntima del compositor.,phác họa,Nhà viết tiểu sử cố phác họa nội tâm nhà soạn nhạc kín đáo.,วาดภาพ,นักเขียนชีวประวัติพยายามวาดภาพชีวิตในใจของนักแต่งเพลง,menggambarkan,Biografer mencoba menggambarkan kehidupan batin komposer.
linchpin,Her quiet coordination skills were widely recognized as the linchpin of the volatile project team.,핵심,그녀의 조용한 조율 능력은 변동성 큰 팀의 핵심으로 인정받았다.,要,彼女の調整力は揺れ動くチームの要として認められた。,关键,她沉静的协调力被公认为多变项目团队的关键。,eje,Su coordinación era el eje del equipo volátil.,trụ cột,Kỹ năng điều phối thầm lặng là trụ cột của đội nhiều biến động.,หัวใจสำคัญ,ทักษะประสานเงียบของเธอคือหัวใจสำคัญของทีม,kunci utama,Keterampilan koordinasinya menjadi kunci utama tim.
lionize,The biographical film tended to lionize the founder while glossing over his obvious shortcomings.,영웅화하다,그 전기 영화는 창립자의 단점을 가리며 그를 영웅화하는 경향을 보였다.,英雄視する,伝記映画は欠点を覆い隠して創設者を英雄視しがちだった。,把奉为英雄,这部传记片倾向于把创始人奉为英雄而掩饰缺点。,ensalzar,La cinta tendía a ensalzar al fundador omitiendo defectos.,tôn sùng,Phim tiểu sử tôn sùng người sáng lập và che lấp khuyết điểm.,ยกย่องเป็นวีรบุรุษ,หนังชีวประวัติยกย่องเป็นวีรบุรุษและซ่อนข้อบกพร่อง,memuja,Film biografi cenderung memuja pendiri sambil menutupi kekurangannya.
lithe,The lithe gymnast vaulted gracefully across the practice mat without the slightest visible strain.,날씬한,그 날씬한 체조 선수는 매트 위를 힘들이지 않고 우아하게 넘었다.,しなやかな,しなやかな体操選手は楽々とマットを跳んだ。,柔韧的,柔韧的体操选手轻松优雅地跃过练习垫。,ágil,La ágil gimnasta saltaba sin esfuerzo aparente.,uyển chuyển,Vận động viên uyển chuyển bay qua tấm thảm dễ dàng.,อ่อนช้อย,นักยิมนาสติกอ่อนช้อยกระโดดข้ามเบาะอย่างสง่างาม,lentur,Pesenam yang lentur melompati matras dengan anggun.
litigant,Each litigant had hired separate counsel before the long-awaited arbitration hearing began.,소송 당사자,각 소송 당사자는 오래 기다린 중재 청문 전에 별도의 변호인을 선임했다.,訴訟当事者,各訴訟当事者は仲裁前に別の弁護士を立てた。,诉讼当事人,每位诉讼当事人在仲裁开始前都聘请了独立律师。,litigante,Cada litigante contrató abogado por separado.,bên kiện tụng,Mỗi bên kiện tụng thuê luật sư riêng trước phiên xử.,คู่ความ,คู่ความแต่ละฝ่ายจ้างทนายแยกก่อนการไกล่เกลี่ย,pihak berperkara,Setiap pihak berperkara menyewa pengacara terpisah.
littoral,The marine biologist surveyed the diverse littoral ecosystem during the unusually low spring tide.,연안의,해양 생물학자는 봄철의 이례적 간조 동안 다양한 연안의 생태계를 조사했다.,沿岸の,海洋生物学者は春の異例の干潮で多様な沿岸の生態系を調べた。,沿海的,海洋生物学家在异常退潮时调查多样的沿海的生态。,litoral,La bióloga estudió el diverso ecosistema litoral.,ven biển,Nhà sinh vật biển khảo sát hệ sinh thái ven biển khi triều cường thấp.,ชายฝั่ง,นักชีววิทยาทะเลสำรวจระบบนิเวศชายฝั่งช่วงน้ำลง,pesisir,Ahli biologi laut meneliti ekosistem pesisir yang beragam.
liturgical,The choir rehearsed traditional liturgical music for the upcoming midnight Christmas mass service.,전례의,성가대는 다가오는 자정 미사를 위해 전통 전례의 음악을 연습했다.,典礼の,聖歌隊は深夜ミサのため伝統典礼の音楽を練習した。,礼仪的,唱诗班为即将到来的午夜弥撒练习传统礼仪的音乐。,litúrgico,El coro ensayaba música litúrgica para la misa.,phụng vụ,Ca đoàn tập nhạc phụng vụ truyền thống cho lễ nửa đêm.,เกี่ยวกับพิธีกรรม,คณะนักร้องซ้อมเพลงเกี่ยวกับพิธีกรรมเตรียมมิสซา,liturgis,Paduan suara berlatih musik liturgis tradisional Natal.
livery,The footmen wore the elaborate green livery of the noble household at every formal banquet.,제복,종복들은 모든 공식 연회에서 귀족 가문의 정교한 녹색 제복을 입었다.,お仕着せ,従僕は公式宴会で貴族家の精巧な緑のお仕着せを着た。,制服,仆从们在每次正式宴会上穿贵族家精致的绿色制服。,librea,Los criados vestían la elaborada librea verde de la casa.,đồng phục gia nhân,Người hầu mặc đồng phục gia nhân xanh lục công phu mỗi yến tiệc.,เครื่องแบบคนรับใช้,คนรับใช้สวมเครื่องแบบคนรับใช้สีเขียวในงานเลี้ยง,seragam pelayan,Pelayan mengenakan seragam pelayan hijau rumit dalam jamuan.
loath,He was loath to interrupt the discussion despite his strong professional disagreement with the panel.,꺼리는,그는 패널과의 강한 견해 차이에도 토론을 끊는 것을 꺼리는 태도였다.,したがらない,彼は強い反対意見にも議論を遮ることをしたがらなかった。,不情愿的,尽管意见相左他仍不情愿打断讨论。,reacio,Era reacio a interrumpir pese al desacuerdo.,miễn cưỡng,Anh miễn cưỡng không ngắt thảo luận dù bất đồng mạnh.,ไม่เต็มใจ,เขาไม่เต็มใจขัดจังหวะแม้ไม่เห็นด้วย,enggan,Dia enggan menyela diskusi meski sangat tidak setuju.
loathsome,The villagers found the warlord's brutal methods utterly loathsome and impossible to forgive.,혐오스러운,마을 주민들은 군벌의 잔혹한 방식을 완전히 혐오스러운 것으로 여겼다.,忌まわしい,村人は軍閥の残忍な手口を全く忌まわしいと思った。,令人憎恶的,村民认为军阀的残酷手段令人憎恶难以原谅。,repugnante,Los aldeanos hallaban repugnantes los métodos.,kinh tởm,Dân làng thấy thủ đoạn tàn bạo của lãnh chúa kinh tởm.,น่ารังเกียจ,ชาวบ้านเห็นวิธีการของขุนศึกน่ารังเกียจสุดทน,menjijikkan,Penduduk desa menemukan metode panglima menjijikkan.
