coordinate,We need to coordinate our schedules to find a meeting time that works for everyone.,조정하다,우리는 모두에게 맞는 회의 시간을 찾기 위해 일정을 조정할 필요가 있다.,調整する,全員に都合の良い会議時間を見つけるためにスケジュールを調整する必要がある。,协调,我们需要协调日程以找到适合每个人的会议时间。,coordinar,Necesitamos coordinar nuestros horarios para encontrar una hora de reunión que funcione para todos.,phối hợp,Chúng ta cần phối hợp lịch trình để tìm thời gian họp phù hợp cho mọi người.,ประสานงาน,เราต้องประสานตารางเวลาเพื่อหาเวลาประชุมที่เหมาะกับทุกคน,mengoordinasikan,Kita perlu mengoordinasikan jadwal untuk menemukan waktu rapat yang cocok untuk semua.
search,Users can search the comprehensive database by keyword author publication year or topic to find the most relevant journal articles available.,검색하다,사용자들은 가장 관련성 높은 저널 기사를 찾기 위해 키워드와 저자와 출판 연도 또는 주제로 종합적인 데이터베이스를 검색할 수 있다.,検索する,ユーザーは最も関連性の高い学術記事を見つけるためにキーワード、著者、出版年、トピックで包括的なデータベースを検索することができる。,搜索,用户可以通过关键词作者出版年份或主题搜索综合数据库以找到最相关的期刊文章。,buscar,Los usuarios pueden buscar en la base de datos integral por palabra clave autor año de publicación o tema para encontrar los artículos de revistas más relevantes disponibles.,tìm kiếm,Người dùng có thể tìm kiếm cơ sở dữ liệu toàn diện theo từ khóa tác giả năm xuất bản hoặc chủ đề để tìm các bài viết tạp chí có liên quan nhất.,ค้นหา,ผู้ใช้สามารถค้นหาฐานข้อมูลที่ครอบคลุมด้วยคำสำคัญผู้เขียนปีที่ตีพิมพ์หรือหัวข้อเพื่อค้นหาบทความวารสารที่เกี่ยวข้องที่สุดที่มีอยู่,mencari,Pengguna dapat mencari di basis data komprehensif berdasarkan kata kunci penulis tahun publikasi atau topik untuk menemukan artikel jurnal paling relevan yang tersedia.
filter,Online shoppers can filter the long product list by price range customer ratings and shipping options to quickly narrow down their choices.,필터링하다,온라인 쇼핑객들은 자신의 선택을 빠르게 좁히기 위해 가격 범위와 고객 평점과 배송 옵션으로 긴 제품 목록을 필터링할 수 있다.,フィルタリングする,オンライン買い物客は選択肢を素早く絞り込むために価格帯顧客評価配送オプションで長い商品リストをフィルタリングできる。,筛选,在线购物者可以按价格区间客户评级和运输选项筛选长长的产品清单以快速缩小他们的选择范围。,filtrar,Los compradores en línea pueden filtrar la larga lista de productos por rango de precios calificaciones de clientes y opciones de envío para reducir rápidamente sus opciones.,lọc,Người mua sắm trực tuyến có thể lọc danh sách sản phẩm dài theo phạm vi giá đánh giá khách hàng và tùy chọn giao hàng để nhanh chóng thu hẹp lựa chọn của họ.,กรอง,นักช้อปออนไลน์สามารถกรองรายการสินค้ายาวๆ ตามช่วงราคาคะแนนของลูกค้าและตัวเลือกการจัดส่งเพื่อลดตัวเลือกของพวกเขาอย่างรวดเร็ว,memfilter,Pembeli online dapat memfilter daftar produk panjang berdasarkan rentang harga peringkat pelanggan dan opsi pengiriman untuk mempersempit pilihan mereka dengan cepat.
sort,The librarian will sort the newly arrived books by genre author and publication year before adding them to the public catalog system.,분류하다,사서는 공공 카탈로그 시스템에 추가하기 전에 새로 도착한 책들을 장르와 저자와 출판 연도별로 분류할 것이다.,分類する,司書は公共カタログシステムに追加する前に新着の書籍をジャンル著者出版年で分類する。,分类,图书管理员将在将新到的书籍添加到公共目录系统之前按体裁作者和出版年份对它们进行分类。,clasificar,El bibliotecario clasificará los libros recién llegados por género autor y año de publicación antes de añadirlos al sistema de catálogo público.,sắp xếp,Thủ thư sẽ sắp xếp những cuốn sách mới đến theo thể loại tác giả và năm xuất bản trước khi thêm chúng vào hệ thống danh mục công khai.,จัดเรียง,บรรณารักษ์จะจัดเรียงหนังสือที่เพิ่งมาถึงตามประเภทผู้เขียนและปีที่ตีพิมพ์ก่อนเพิ่มเข้าระบบแคตตาล็อกสาธารณะ,menyortir,Pustakawan akan menyortir buku-buku yang baru tiba berdasarkan genre penulis dan tahun publikasi sebelum menambahkannya ke sistem katalog publik.
restock,The store clerk had to quickly restock the popular sneaker shelves three times during the busy weekend holiday shopping rush.,재입고하다,그 매장 직원은 바쁜 주말 휴일 쇼핑 시간에 인기 운동화 선반을 세 번이나 빠르게 재입고해야 했다.,補充する,その店員は忙しい週末の祝日ショッピングラッシュ中に人気のスニーカー棚を三回も素早く補充しなければならなかった。,补货,在繁忙的周末假日购物期间店员不得不三次快速给热门的运动鞋货架补货。,reabastecer,El dependiente tuvo que reabastecer rápidamente los estantes de zapatillas populares tres veces durante el ajetreo de las compras del fin de semana festivo.,bổ sung hàng,Nhân viên cửa hàng phải nhanh chóng bổ sung hàng kệ giày thể thao phổ biến ba lần trong dịp mua sắm cuối tuần lễ hội bận rộn.,เติมสินค้า,พนักงานร้านต้องเติมสินค้าชั้นวางรองเท้ายอดนิยมอย่างรวดเร็วสามครั้งในช่วงการเร่งซื้อช่วงสุดสัปดาห์วันหยุดที่ยุ่งวุ่นวาย,mengisi ulang stok,Pegawai toko harus dengan cepat mengisi ulang stok rak sneaker populer tiga kali selama keramaian belanja akhir pekan liburan yang sibuk.
transport,The logistics company will transport the fragile medical equipment overseas using specially designed temperature controlled refrigerated shipping containers.,운송하다,그 물류 회사는 특별히 설계된 온도 조절 냉장 운송 컨테이너를 사용하여 깨지기 쉬운 의료 장비를 해외로 운송할 것이다.,輸送する,その物流会社は特別に設計された温度管理された冷蔵輸送コンテナを使って壊れやすい医療機器を海外に輸送する。,运输,物流公司将使用特别设计的温控冷藏运输集装箱将易碎的医疗设备运输到海外。,transportar,La empresa logística transportará el frágil equipo médico al extranjero usando contenedores de envío refrigerados con temperatura controlada especialmente diseñados.,vận chuyển,Công ty hậu cần sẽ vận chuyển thiết bị y tế dễ vỡ ra nước ngoài bằng container vận chuyển lạnh có kiểm soát nhiệt độ được thiết kế đặc biệt.,ขนส่ง,บริษัทโลจิสติกส์จะขนส่งอุปกรณ์การแพทย์ที่เปราะบางไปยังต่างประเทศโดยใช้ตู้คอนเทนเนอร์ขนส่งห้องเย็นที่ควบคุมอุณหภูมิที่ออกแบบเป็นพิเศษ,mengangkut,Perusahaan logistik akan mengangkut peralatan medis yang rapuh ke luar negeri menggunakan kontainer pengiriman berpendingin terkendali suhu yang dirancang khusus.
ship,The online store promised to ship every customer order within just one business day after the secure payment has been fully confirmed.,발송하다,그 온라인 매장은 안전한 결제가 완전히 확인된 후 단 하루의 영업일 내에 모든 고객 주문을 발송하기로 약속했다.,発送する,そのオンラインストアは安全な支払いが完全に確認された後わずか1営業日以内にすべての顧客注文を発送することを約束した。,发货,在线商店承诺在安全付款被完全确认后仅一个工作日内为每个客户订单发货。,enviar,La tienda en línea prometió enviar cada pedido del cliente en solo un día hábil después de que el pago seguro haya sido completamente confirmado.,gửi hàng,Cửa hàng trực tuyến hứa sẽ gửi hàng mọi đơn hàng của khách hàng chỉ trong một ngày làm việc sau khi thanh toán an toàn được xác nhận hoàn toàn.,จัดส่ง,ร้านออนไลน์สัญญาว่าจะจัดส่งคำสั่งซื้อของลูกค้าทุกรายภายในเพียงหนึ่งวันทำการหลังจากการชำระเงินที่ปลอดภัยได้รับการยืนยันโดยสมบูรณ์,mengirim,Toko online berjanji akan mengirim setiap pesanan pelanggan hanya dalam satu hari kerja setelah pembayaran aman dikonfirmasi sepenuhnya.
pack,Travelers should pack only the essential personal items for the long international flight to avoid paying any extra checked baggage fees at the airport counter.,짐을 싸다,여행자들은 공항 카운터에서 추가 위탁 수하물 요금을 지불하지 않기 위해 긴 국제선 항공편에 필수 개인 물품만 짐을 싸야 한다.,荷物を詰める,旅行者は空港カウンターで追加の手荷物料金を支払わないように長距離国際線に必須の個人用品だけを荷物に詰めるべきだ。,打包,旅行者应该只为漫长的国际航班打包必要的个人物品以避免在机场柜台支付任何额外的托运行李费用。,empacar,Los viajeros deben empacar solo los artículos personales esenciales para el largo vuelo internacional para evitar pagar tarifas adicionales por equipaje facturado en el mostrador del aeropuerto.,đóng gói,Du khách chỉ nên đóng gói những vật dụng cá nhân thiết yếu cho chuyến bay quốc tế dài để tránh phải trả thêm phí hành lý ký gửi tại quầy sân bay.,แพ็ค,นักเดินทางควรแพ็คเฉพาะของใช้ส่วนตัวที่จำเป็นสำหรับเที่ยวบินระหว่างประเทศที่ยาวนานเพื่อหลีกเลี่ยงการจ่ายค่าธรรมเนียมสัมภาระโหลดเพิ่มเติมที่เคาน์เตอร์สนามบิน,mengemas,Pelancong sebaiknya mengemas hanya barang pribadi penting untuk penerbangan internasional panjang agar terhindar dari biaya tambahan bagasi yang dititipkan di konter bandara.
unpack,She decided to unpack her heavy luggage in the comfortable hotel room before going out to explore the lively local street market.,짐을 풀다,그녀는 활기찬 현지 길거리 시장을 탐험하러 나가기 전에 편안한 호텔 방에서 무거운 짐을 풀기로 결정했다.,荷物を解く,彼女は活気のある地元の屋台市場を探索しに出かける前に快適なホテルの部屋で重い荷物を解くことに決めた。,打开行李,她决定在出门探索热闹的当地街头市场之前先在舒适的酒店房间里打开行李。,deshacer las maletas,Decidió deshacer las maletas pesadas en la cómoda habitación del hotel antes de salir a explorar el animado mercado callejero local.,dỡ hành lý,Cô quyết định dỡ hành lý nặng trong căn phòng khách sạn thoải mái trước khi ra ngoài khám phá khu chợ địa phương nhộn nhịp.,เปิดกระเป๋า,เธอตัดสินใจเปิดกระเป๋าหนักในห้องโรงแรมที่สะดวกสบายก่อนออกไปสำรวจตลาดถนนท้องถิ่นที่คึกคัก,membongkar koper,Dia memutuskan untuk membongkar koper berat di kamar hotel yang nyaman sebelum keluar menjelajahi pasar jalanan lokal yang ramai.
unload,The dock workers had to unload all the heavy shipping containers carefully from the giant cargo ship before the sudden storm could arrive at the harbor.,짐을 내리다,부두 작업자들은 갑작스러운 폭풍이 항구에 도달하기 전에 거대한 화물선에서 모든 무거운 운송 컨테이너를 조심스럽게 짐을 내려야 했다.,降ろす,埠頭の作業員は突然の嵐が港に到達する前に巨大な貨物船からすべての重いコンテナを慎重に降ろさなければならなかった。,卸货,码头工人必须在突如其来的暴风雨抵达港口之前小心地从巨大的货船上卸下所有沉重的运输集装箱。,descargar,Los trabajadores portuarios tuvieron que descargar todos los pesados contenedores de carga con cuidado del enorme barco de carga antes de que la repentina tormenta pudiera llegar al puerto.,bốc dỡ,Công nhân bến cảng đã phải bốc dỡ tất cả các container vận chuyển nặng từ con tàu chở hàng khổng lồ một cách cẩn thận trước khi cơn bão bất ngờ có thể đến cảng.,ขนของลง,คนงานท่าเรือต้องขนของลงตู้คอนเทนเนอร์ขนส่งที่หนักทั้งหมดจากเรือบรรทุกขนาดยักษ์อย่างระมัดระวังก่อนพายุกะทันหันจะมาถึงท่าเรือ,membongkar muatan,Pekerja dermaga harus membongkar muatan semua kontainer pengiriman berat dengan hati-hati dari kapal kargo raksasa sebelum badai mendadak bisa tiba di pelabuhan.
certify,The board officially decided to certify the new mobile application as fully compliant with the latest international data privacy and cybersecurity industry standards.,인증하다,이사회는 새 모바일 애플리케이션이 최신 국제 데이터 개인정보 보호 및 사이버 보안 업계 표준을 완전히 준수한다고 공식적으로 인증하기로 결정했다.,認証する,理事会は新しいモバイルアプリケーションが最新の国際データプライバシーおよびサイバーセキュリティ業界基準に完全準拠していることを公式に認証することに決定した。,认证,委员会正式决定将新移动应用程序认证为完全符合最新的国际数据隐私和网络安全行业标准。,certificar,La junta decidió oficialmente certificar la nueva aplicación móvil como totalmente conforme con los últimos estándares internacionales de privacidad de datos y ciberseguridad.,chứng nhận,Hội đồng chính thức quyết định chứng nhận ứng dụng di động mới hoàn toàn tuân thủ các tiêu chuẩn ngành về quyền riêng tư dữ liệu quốc tế và an ninh mạng mới nhất.,รับรอง,คณะกรรมการตัดสินใจอย่างเป็นทางการที่จะรับรองแอปพลิเคชันมือถือใหม่ว่าเป็นไปตามมาตรฐานอุตสาหกรรมความเป็นส่วนตัวของข้อมูลและความปลอดภัยทางไซเบอร์ระหว่างประเทศล่าสุดอย่างสมบูรณ์,mensertifikasi,Dewan secara resmi memutuskan untuk mensertifikasi aplikasi seluler baru sebagai sepenuhnya sesuai dengan standar industri privasi data internasional dan keamanan siber terbaru.
enroll,Many talented young students enroll in the famous summer language program every single year to significantly improve their conversational fluency skills.,등록하다,많은 재능 있는 어린 학생들은 자신들의 회화 유창성 기술을 크게 향상시키기 위해 매년 유명한 여름 어학 프로그램에 등록한다.,登録する,多くの才能ある若い学生たちは会話の流暢さを大幅に向上させるために毎年有名な夏期語学プログラムに登録する。,报名,许多有才华的年轻学生每年都报名参加著名的暑期语言课程以显著提高他们的会话流利度。,inscribirse,Muchos talentosos estudiantes jóvenes se inscriben cada año en el famoso programa de idiomas de verano para mejorar significativamente sus habilidades de fluidez conversacional.,ghi danh,Nhiều học sinh trẻ tài năng ghi danh vào chương trình ngôn ngữ hè nổi tiếng hàng năm để cải thiện đáng kể kỹ năng lưu loát giao tiếp.,ลงทะเบียนเรียน,นักเรียนที่มีความสามารถจำนวนมากลงทะเบียนเรียนในโปรแกรมภาษาฤดูร้อนที่มีชื่อเสียงทุกปีเพื่อพัฒนาทักษะความคล่องแคล่วในการสนทนาอย่างมีนัยสำคัญ,mendaftar,Banyak siswa muda berbakat mendaftar dalam program bahasa musim panas terkenal setiap tahun untuk secara signifikan meningkatkan kemampuan kelancaran percakapan mereka.
graduate,She expected to graduate from the prestigious engineering university next year with high academic honors and a guaranteed job offer at a major firm.,졸업하다,그녀는 내년에 명문 공학 대학을 우수한 학업 성적과 대기업에서의 보장된 채용 제안과 함께 졸업할 것으로 예상했다.,卒業する,彼女は来年、名門工学大学を優秀な学業成績と大企業からの保証された雇用提案と共に卒業する予定だった。,毕业,她预计明年从著名工程大学毕业并获得高学术荣誉以及一家大公司的就业保证。,graduarse,Ella esperaba graduarse de la prestigiosa universidad de ingeniería el próximo año con altos honores académicos y una oferta de trabajo garantizada en una gran firma.,tốt nghiệp,Cô dự kiến sẽ tốt nghiệp đại học kỹ thuật danh tiếng vào năm tới với danh hiệu học tập cao và lời mời làm việc đảm bảo tại một công ty lớn.,สำเร็จการศึกษา,เธอคาดหวังว่าจะสำเร็จการศึกษาจากมหาวิทยาลัยวิศวกรรมศาสตร์อันทรงเกียรติในปีหน้าด้วยเกียรตินิยมทางวิชาการและข้อเสนองานที่รับประกันที่บริษัทใหญ่,lulus,Dia berharap lulus dari universitas teknik bergengsi tahun depan dengan penghargaan akademis tinggi dan tawaran pekerjaan yang dijamin di perusahaan besar.
retire,My grandfather plans to retire from his long career as a respected high school history teacher at the end of the current academic school year.,은퇴하다,할아버지는 현재 학년도가 끝날 때 존경받는 고등학교 역사 교사로서의 긴 경력에서 은퇴할 계획이다.,退職する,祖父は現在の学年度の終わりに尊敬される高校歴史教師としての長い経歴から退職する予定だ。,退休,我祖父计划在本学年结束时从他作为受人尊敬的高中历史老师的漫长职业生涯中退休。,jubilarse,Mi abuelo planea jubilarse de su larga carrera como respetado profesor de historia de la escuela secundaria al final del año académico actual.,nghỉ hưu,Ông tôi dự định nghỉ hưu khỏi sự nghiệp lâu dài làm giáo viên lịch sử trung học được kính trọng vào cuối năm học hiện tại.,เกษียณ,คุณปู่ของฉันวางแผนจะเกษียณจากอาชีพการเป็นครูประวัติศาสตร์ระดับมัธยมปลายที่เคารพนับถือเมื่อสิ้นปีการศึกษาปัจจุบัน,pensiun,Kakek saya berencana pensiun dari karier panjangnya sebagai guru sejarah SMA yang dihormati di akhir tahun ajaran saat ini.
commute,Many busy office workers in the capital city commute over two hours every single day between their distant homes and their crowded downtown workplaces.,통근하다,수도의 많은 바쁜 사무직 종사자들은 매일 자신들의 멀리 떨어진 집과 붐비는 도심 직장 사이를 두 시간 넘게 통근한다.,通勤する,首都の多くの忙しい事務職員は毎日遠く離れた家と混雑した市街地の職場の間を二時間以上通勤する。,通勤,首都许多忙碌的办公室工作人员每天在他们遥远的家和拥挤的市中心工作地之间通勤超过两个小时。,desplazarse al trabajo,Muchos atareados oficinistas en la capital se desplazan al trabajo más de dos horas todos los días entre sus hogares lejanos y sus concurridos lugares de trabajo en el centro.,đi làm xa,Nhiều nhân viên văn phòng bận rộn ở thủ đô đi làm xa hơn hai giờ mỗi ngày giữa nhà ở xa và nơi làm việc đông đúc trong trung tâm thành phố.,เดินทางไปทำงาน,พนักงานออฟฟิศที่ยุ่งวุ่นวายในเมืองหลวงหลายคนเดินทางไปทำงานนานกว่าสองชั่วโมงทุกวันระหว่างบ้านที่อยู่ไกลและที่ทำงานในใจกลางเมืองที่แออัด,bolak-balik kerja,Banyak pekerja kantor sibuk di ibu kota bolak-balik kerja lebih dari dua jam setiap hari antara rumah jauh dan tempat kerja pusat kota yang padat.
mentor,The senior software engineer agreed to mentor the new junior developer for the entire onboarding period to make her professional transition far smoother and more confident.,멘토링하다,그 시니어 소프트웨어 엔지니어는 그녀의 전문적인 전환을 훨씬 더 순조롭고 자신감 있게 만들기 위해 전체 온보딩 기간 동안 새로운 주니어 개발자를 멘토링하기로 동의했다.,指導する,そのシニアソフトウェアエンジニアは彼女のプロフェッショナルな移行をはるかにスムーズで自信のあるものにするためにオンボーディング期間全体にわたって新しいジュニア開発者を指導することに同意した。,指导,资深软件工程师同意在整个入职期间指导新的初级开发人员以使她的职业过渡更加顺利和自信。,asesorar,El ingeniero de software senior aceptó asesorar al nuevo desarrollador junior durante todo el período de incorporación para hacer su transición profesional mucho más fluida y segura.,cố vấn,Kỹ sư phần mềm cấp cao đồng ý cố vấn cho lập trình viên cấp dưới mới trong toàn bộ giai đoạn nhập môn để giúp quá trình chuyển đổi nghề nghiệp của cô trở nên suôn sẻ và tự tin hơn.,เป็นพี่เลี้ยง,วิศวกรซอฟต์แวร์อาวุโสตกลงที่จะเป็นพี่เลี้ยงให้นักพัฒนารุ่นเยาว์คนใหม่ตลอดช่วงการปฐมนิเทศเพื่อให้การเปลี่ยนผ่านในอาชีพของเธอราบรื่นและมั่นใจขึ้นมาก,membimbing,Insinyur perangkat lunak senior setuju untuk membimbing pengembang junior baru selama seluruh masa onboarding agar transisi profesionalnya jauh lebih mulus dan percaya diri.
coach,The retired Olympic athlete now chooses to coach promising local youth basketball teams during her free time on the weekends to give back to the community.,코치하다,그 은퇴한 올림픽 선수는 이제 지역 사회에 환원하기 위해 주말 여가 시간에 유망한 지역 청소년 농구팀을 코치하기로 선택한다.,コーチする,その引退したオリンピック選手は今は地域社会に還元するために週末の自由時間に有望な地元の青少年バスケットボールチームをコーチすることを選んでいる。,执教,这位退役奥运选手现在选择在周末空闲时间执教有前途的当地青少年篮球队以回馈社区。,entrenar,La atleta olímpica retirada ahora elige entrenar prometedores equipos juveniles de baloncesto locales durante su tiempo libre los fines de semana para devolver algo a la comunidad.,huấn luyện,Vận động viên Olympic đã nghỉ hưu giờ chọn huấn luyện các đội bóng rổ trẻ địa phương đầy hứa hẹn trong thời gian rảnh cuối tuần để đóng góp lại cho cộng đồng.,ฝึกสอน,นักกีฬาโอลิมปิกที่เกษียณแล้วเลือกฝึกสอนทีมบาสเกตบอลเยาวชนท้องถิ่นที่มีอนาคตในช่วงเวลาว่างของเธอช่วงสุดสัปดาห์เพื่อตอบแทนชุมชน,melatih,Atlet Olimpiade pensiun sekarang memilih untuk melatih tim bola basket pemuda lokal yang menjanjikan selama waktu luangnya di akhir pekan untuk membalas kepada komunitas.
intern,The motivated computer science student plans to intern at a fast growing technology startup in the city next summer to gain truly valuable real-world experience.,인턴십을 하다,그 의욕적인 컴퓨터 공학 학생은 진정으로 가치 있는 실무 경험을 얻기 위해 내년 여름에 도시의 빠르게 성장하는 기술 스타트업에서 인턴십을 할 계획이다.,インターンする,そのやる気のあるコンピュータサイエンスの学生は本当に価値のある実務経験を得るために来年の夏に都市の急成長するテクノロジースタートアップでインターンする計画だ。,实习,这位积极的计算机科学学生计划明年夏天在市内一家快速成长的科技初创公司实习以获得真正有价值的实际经验。,hacer prácticas,El motivado estudiante de informática planea hacer prácticas en una startup tecnológica de rápido crecimiento en la ciudad el próximo verano para obtener una experiencia verdaderamente valiosa del mundo real.,thực tập,Sinh viên khoa học máy tính đầy động lực dự định thực tập tại một công ty khởi nghiệp công nghệ phát triển nhanh trong thành phố vào mùa hè tới để có được kinh nghiệm thực tế thực sự có giá trị.,ฝึกงาน,นักศึกษาวิทยาการคอมพิวเตอร์ที่มีแรงจูงใจวางแผนที่จะฝึกงานที่บริษัทเทคโนโลยีสตาร์ทอัพที่กำลังเติบโตอย่างรวดเร็วในเมืองในฤดูร้อนหน้าเพื่อรับประสบการณ์โลกแห่งความเป็นจริงที่มีคุณค่าอย่างแท้จริง,magang,Mahasiswa ilmu komputer yang termotivasi berencana magang di startup teknologi yang berkembang pesat di kota musim panas depan untuk mendapatkan pengalaman dunia nyata yang sangat berharga.
enlist,Many courageous young adults choose to enlist in the national military service immediately after graduating from high school to serve their country with deep pride.,입대하다,많은 용감한 젊은 성인들은 깊은 자부심으로 조국에 봉사하기 위해 고등학교 졸업 직후 국가 군대 복무에 입대하기로 선택한다.,入隊する,多くの勇敢な若い大人たちは深い誇りを持って自国に奉仕するために高校卒業直後に国家軍隊に入隊することを選ぶ。,入伍,许多勇敢的年轻成年人选择在高中毕业后立即入伍服兵役以深深的自豪感为国家服务。,alistarse,Muchos jóvenes valientes eligen alistarse en el servicio militar nacional inmediatamente después de graduarse de la escuela secundaria para servir a su país con profundo orgullo.,nhập ngũ,Nhiều thanh niên dũng cảm chọn nhập ngũ vào quân đội quốc gia ngay sau khi tốt nghiệp trung học để phục vụ đất nước với niềm tự hào sâu sắc.,เข้าประจำการ,ผู้ใหญ่หนุ่มที่กล้าหาญหลายคนเลือกเข้าประจำการในกองทัพแห่งชาติทันทีหลังจากจบการศึกษาระดับมัธยมปลายเพื่อรับใช้ประเทศด้วยความภาคภูมิใจอย่างลึกซึ้ง,mendaftar wajib militer,Banyak orang dewasa muda yang berani memilih untuk mendaftar wajib militer nasional segera setelah lulus dari sekolah menengah atas untuk melayani negara mereka dengan kebanggaan yang dalam.
nominate,The members of the small academic committee plan to nominate three highly qualified candidates for the prestigious leadership award at the annual special ceremony.,추천하다,작은 학술 위원회 멤버들은 연례 특별 행사에서 명망 있는 리더십 상을 위해 매우 자격 있는 후보자 세 명을 추천할 계획이다.,推薦する,小さな学術委員会のメンバーは年次特別式典で名誉あるリーダーシップ賞のために非常に資格のある候補者三人を推薦する計画だ。,提名,小型学术委员会成员计划在年度特别仪式上为享有盛誉的领导奖提名三位高度合格的候选人。,nominar,Los miembros del pequeño comité académico planean nominar a tres candidatos altamente cualificados para el prestigioso premio de liderazgo en la ceremonia especial anual.,đề cử,Các thành viên của ủy ban học thuật nhỏ dự định đề cử ba ứng viên có trình độ cao cho giải thưởng lãnh đạo danh giá tại buổi lễ đặc biệt hàng năm.,เสนอชื่อ,สมาชิกของคณะกรรมการวิชาการขนาดเล็กวางแผนที่จะเสนอชื่อผู้สมัครที่มีคุณสมบัติสูงสามคนสำหรับรางวัลความเป็นผู้นำอันทรงเกียรติในพิธีพิเศษประจำปี,mencalonkan,Anggota komite akademik kecil berencana mencalonkan tiga kandidat berkualifikasi tinggi untuk penghargaan kepemimpinan bergengsi pada upacara khusus tahunan.
fire,The company decided to fire several underperforming managers after conducting a comprehensive internal investigation into the long-standing departmental ethics violations.,해고하다,회사는 부서의 오랫동안 지속된 윤리 위반에 대한 종합적인 내부 조사를 실시한 후 성과가 부진한 여러 매니저를 해고하기로 결정했다.,解雇する,会社は部門の長く続いた倫理違反に関する包括的な内部調査を実施した後、業績不振の複数の管理職を解雇することを決定した。,解雇,公司在对长期存在的部门道德违规行为进行全面内部调查后决定解雇几位表现不佳的经理。,despedir,La empresa decidió despedir a varios gerentes con bajo rendimiento después de realizar una investigación interna integral sobre las antiguas violaciones éticas del departamento.,sa thải,Công ty quyết định sa thải nhiều quản lý kém hiệu quả sau khi tiến hành cuộc điều tra nội bộ toàn diện về các vi phạm đạo đức kéo dài của bộ phận.,ไล่ออก,บริษัทตัดสินใจไล่ออกผู้จัดการที่มีผลงานต่ำกว่ามาตรฐานหลายคนหลังจากดำเนินการสอบสวนภายในอย่างครอบคลุมเกี่ยวกับการละเมิดจริยธรรมของแผนกที่ยาวนาน,memecat,Perusahaan memutuskan untuk memecat beberapa manajer yang berkinerja buruk setelah melakukan penyelidikan internal menyeluruh tentang pelanggaran etika departemen yang sudah lama terjadi.
hire,The growing local startup plans to hire at least ten experienced engineers from across the country before the highly anticipated official product launch next quarter.,고용하다,그 성장하는 지역 스타트업은 다음 분기에 큰 기대를 모으는 공식 제품 출시 전에 전국에서 적어도 10명의 경험 많은 엔지니어를 고용할 계획이다.,雇用する,その成長する地元のスタートアップは次の四半期に大いに期待される公式製品立ち上げ前に全国から少なくとも10人の経験豊富なエンジニアを雇用する計画だ。,雇用,这家不断成长的本地初创公司计划在下个季度备受期待的正式产品发布之前从全国雇用至少十名经验丰富的工程师。,contratar,La startup local en crecimiento planea contratar al menos diez ingenieros experimentados de todo el país antes del muy esperado lanzamiento oficial del producto del próximo trimestre.,tuyển dụng,Startup địa phương đang phát triển dự định tuyển dụng ít nhất mười kỹ sư có kinh nghiệm từ khắp đất nước trước đợt ra mắt sản phẩm chính thức được mong chờ vào quý tới.,จ้าง,สตาร์ทอัพท้องถิ่นที่กำลังเติบโตวางแผนที่จะจ้างวิศวกรที่มีประสบการณ์อย่างน้อยสิบคนจากทั่วประเทศก่อนการเปิดตัวผลิตภัณฑ์อย่างเป็นทางการที่รอคอยอย่างมากในไตรมาสหน้า,merekrut,Startup lokal yang sedang tumbuh berencana merekrut setidaknya sepuluh insinyur berpengalaman dari seluruh negeri sebelum peluncuran produk resmi yang sangat dinantikan kuartal depan.
elevate,The visiting motivational speaker truly hoped to elevate the overall mood of the entire team after the recent project failure had badly demoralized everyone in the office.,향상시키다,그 방문 동기 부여 강연자는 최근의 프로젝트 실패로 사무실의 모든 사람들의 사기가 크게 떨어진 후 전체 팀의 전반적인 분위기를 향상시키기를 진심으로 바랐다.,高める,その訪問動機付け講演者は最近のプロジェクトの失敗が事務所の全員の士気をひどく落ち込ませた後にチーム全体の全体的な雰囲気を高めることを心から望んだ。,提升,这位前来访问的激励演讲者真心希望在最近的项目失败严重打击了办公室每个人的士气之后能够提升整个团队的整体情绪。,elevar,El conferenciante motivacional visitante esperaba sinceramente elevar el estado de ánimo general de todo el equipo después de que el reciente fracaso del proyecto hubiera desmoralizado mucho a todos en la oficina.,nâng cao,Diễn giả truyền cảm hứng đến thăm thực sự hy vọng có thể nâng cao tinh thần chung của toàn đội sau khi thất bại dự án gần đây làm mất tinh thần mọi người trong văn phòng nặng nề.,ยกระดับ,วิทยากรสร้างแรงบันดาลใจที่มาเยือนหวังที่จะยกระดับอารมณ์โดยรวมของทีมทั้งหมดอย่างแท้จริงหลังจากความล้มเหลวของโครงการเมื่อเร็วๆ นี้ทำให้ทุกคนในออฟฟิศหมดกำลังใจ,meningkatkan,Pembicara motivasi yang berkunjung benar-benar berharap dapat meningkatkan suasana hati keseluruhan tim setelah kegagalan proyek baru-baru ini telah benar-benar mematahkan semangat semua orang di kantor.
