polynomial,A quadratic equation is a polynomial of degree two with at most two real roots.,다항식,이차방정식은 최대 두 개의 실수 근을 가지는 2차 다항식이다.,多項式,二次方程式は最大二つの実数根を持つ次数2の多項式である。,多项式,二次方程是一个最多有两个实数根的二次多项式。,polinomio,Una ecuación cuadrática es un polinomio de grado dos con a lo sumo dos raíces reales.,đa thức,Phương trình bậc hai là một đa thức bậc hai có tối đa hai nghiệm thực.,พหุนาม,สมการกำลังสองเป็นพหุนามดีกรีสองที่มีรากจริงได้มากที่สุดสองราก,polinomial,Persamaan kuadrat adalah polinomial berderajat dua dengan paling banyak dua akar nyata.
equinox,During the vernal equinox day and night are of approximately equal duration worldwide.,춘분; 추분,춘분 동안 낮과 밤의 길이는 전 세계적으로 거의 같다.,春分; 秋分,春分の日には世界中で昼と夜がほぼ同じ長さになる。,春分; 秋分,在春分期间全球的昼夜长度大致相等。,equinoccio,Durante el equinoccio de primavera el día y la noche tienen una duración aproximadamente igual en todo el mundo.,xuân phân; thu phân,Trong ngày xuân phân ngày và đêm có thời lượng gần bằng nhau trên toàn thế giới.,วิษุวัต,ในช่วงวิษุวัตฤดูใบไม้ผลิ กลางวันและกลางคืนมีระยะเวลาเท่ากันโดยประมาณทั่วโลก,ekuinoks,Selama ekuinoks vernal siang dan malam memiliki durasi yang kira-kira sama di seluruh dunia.
solstice,The summer solstice marks the longest day and shortest night of the year in the Northern Hemisphere.,하지; 동지,하지는 북반구에서 일 년 중 가장 긴 낮과 가장 짧은 밤을 나타낸다.,夏至; 冬至,夏至は北半球で一年で最も昼が長く夜が最も短い日を示す。,夏至; 冬至,夏至标志着北半球一年中最长的白天和最短的夜晚。,solsticio,El solsticio de verano marca el día más largo y la noche más corta del año en el hemisferio norte.,hạ chí; đông chí,Hạ chí đánh dấu ngày dài nhất và đêm ngắn nhất trong năm ở Bắc bán cầu.,ครีษมายัน; เหมายัน,ครีษมายันเป็นจุดที่กลางวันยาวที่สุดและกลางคืนสั้นที่สุดของปีในซีกโลกเหนือ,solstis,Solstis musim panas menandai hari terpanjang dan malam terpendek dalam setahun di Belahan Bumi Utara.
zenith,At its zenith the Roman Empire controlled an area spanning three continents.,정점; 천정,전성기에 로마 제국은 세 대륙에 걸친 영토를 지배했다.,天頂; 絶頂,絶頂期においてローマ帝国は三つの大陸にまたがる領域を支配した。,天顶; 顶峰,在其顶峰时期罗马帝国控制着横跨三个大陆的区域。,cénit,En su cénit el Imperio romano controlaba un área que abarcaba tres continentes.,đỉnh điểm,Ở đỉnh điểm Đế chế La Mã kiểm soát một vùng lãnh thổ trải dài qua ba lục địa.,จุดสูงสุด,ที่จุดสูงสุด จักรวรรดิโรมันควบคุมพื้นที่ครอบคลุมสามทวีป,puncak,Pada puncaknya Kekaisaran Romawi menguasai wilayah yang membentang di tiga benua.
plebiscite,The government held a plebiscite to gauge public opinion on the proposed constitutional amendment.,국민투표,정부는 제안된 헌법 개정안에 대한 여론을 측정하기 위해 국민투표를 실시했다.,国民投票,政府は提案された憲法改正に関する世論を測るために国民投票を実施した。,全民公投,政府举行了全民公投以衡量公众对拟议宪法修正案的意见。,plebiscito,El gobierno celebró un plebiscito para medir la opinión pública sobre la enmienda constitucional propuesta.,trưng cầu dân ý,Chính phủ tổ chức trưng cầu dân ý để đánh giá ý kiến công chúng về sửa đổi hiến pháp được đề xuất.,การลงประชามติ,รัฐบาลจัดการลงประชามติเพื่อวัดความคิดเห็นของสาธารณชนเกี่ยวกับการแก้ไขรัฐธรรมนูญที่เสนอ,plebisit,Pemerintah mengadakan plebisit untuk mengukur opini publik tentang amendemen konstitusi yang diusulkan.
demagoguery,His fiery speeches were dismissed by serious analysts as mere demagoguery designed to exploit public fears.,선동,그의 격렬한 연설은 대중의 공포를 이용하려는 단순한 선동으로 진지한 분석가들에 의해 일축되었다.,扇動政治,彼の激しい演説は大衆の恐怖を利用するための単なる扇動として真剣な分析家に一蹴された。,蛊惑人心,他的激烈演说被严肃的分析人士斥为利用公众恐惧的蛊惑人心之术。,demagogia,Sus discursos encendidos fueron desestimados por analistas serios como mera demagogia diseñada para explotar los miedos públicos.,mị dân,Những bài phát biểu nảy lửa của ông bị các nhà phân tích nghiêm túc coi là sự mị dân nhằm khai thác nỗi sợ hãi của công chúng.,การปลุกปั่น,สุนทรพจน์อันเร่าร้อนของเขาถูกนักวิเคราะห์ที่จริงจังมองว่าเป็นเพียงการปลุกปั่นที่ออกแบบมาเพื่อฉวยโอกาสจากความกลัวของสาธารณชน,demagogi,Pidato-pidato berapi-apinya dianggap oleh analis serius sebagai demagogi belaka yang dirancang untuk mengeksploitasi ketakutan publik.
manifesto,The party's manifesto outlined a comprehensive plan for universal healthcare and educational reform.,선언문; 성명서,당의 선언문은 보편적 의료 보장과 교육 개혁을 위한 종합적인 계획을 개괄했다.,マニフェスト,党のマニフェストは国民皆保険と教育改革のための包括的な計画を概説した。,宣言,该党的宣言概述了全民医疗保健和教育改革的综合计划。,manifiesto,El manifiesto del partido delineó un plan integral para la salud universal y la reforma educativa.,tuyên ngôn,Tuyên ngôn của đảng phác thảo một kế hoạch toàn diện cho y tế toàn dân và cải cách giáo dục.,แถลงการณ์,แถลงการณ์ของพรรคระบุแผนที่ครอบคลุมสำหรับการดูแลสุขภาพถ้วนหน้าและการปฏิรูปการศึกษา,manifesto,Manifesto partai menguraikan rencana komprehensif untuk layanan kesehatan universal dan reformasi pendidikan.
emancipation,The emancipation of enslaved peoples marked a pivotal turning point in the nation's moral and legal history.,해방,노예 상태의 사람들의 해방은 국가의 도덕적·법적 역사에서 중대한 전환점을 이뤘다.,解放,被奴隷化された人々の解放は国の道徳的・法的歴史における画期的な転換点となった。,解放,被奴役人民的解放标志着该国道德和法律史上的关键转折点。,emancipación,La emancipación de los pueblos esclavizados marcó un punto de inflexión crucial en la historia moral y legal de la nación.,giải phóng,Sự giải phóng những người bị nô dịch đánh dấu bước ngoặt quan trọng trong lịch sử đạo đức và pháp lý của quốc gia.,การปลดปล่อย,การปลดปล่อยผู้ถูกกดขี่เป็นทาสเป็นจุดเปลี่ยนสำคัญในประวัติศาสตร์ทางศีลธรรมและกฎหมายของชาติ,emansipasi,Emansipasi orang-orang yang diperbudak menandai titik balik penting dalam sejarah moral dan hukum bangsa.
secession,The secession of the southern states precipitated a devastating civil war that lasted four years.,분리; 탈퇴,남부 주들의 분리는 4년간 지속된 파괴적인 남북전쟁을 촉발했다.,脱退; 分離,南部諸州の脱退は4年間にわたる壊滅的な内戦を引き起こした。,分裂; 脱离,南方各州的脱离引发了一场持续四年的毁灭性内战。,secesión,La secesión de los estados del sur precipitó una devastadora guerra civil que duró cuatro años.,ly khai,Sự ly khai của các bang miền Nam đã dẫn đến một cuộc nội chiến tàn khốc kéo dài bốn năm.,การแยกตัว,การแยกตัวของรัฐทางใต้ก่อให้เกิดสงครามกลางเมืองที่ทำลายล้างซึ่งกินเวลาสี่ปี,pemisahan,Pemisahan negara-negara bagian selatan memicu perang saudara yang menghancurkan yang berlangsung selama empat tahun.
nebular,The nebular hypothesis explains the formation of the solar system from a rotating cloud of gas and dust.,성운의,성운 가설은 회전하는 가스와 먼지 구름으로부터 태양계의 형성을 설명한다.,星雲の,星雲仮説は回転するガスと塵の雲から太陽系が形成されたことを説明する。,星云的,星云假说解释了太阳系由一团旋转的气体和尘埃云形成的过程。,nebular,La hipótesis nebular explica la formación del sistema solar a partir de una nube giratoria de gas y polvo.,tinh vân,Giả thuyết tinh vân giải thích sự hình thành của hệ mặt trời từ một đám mây khí và bụi quay.,เกี่ยวกับเนบิวลา,สมมติฐานเนบิวลาอธิบายการก่อตัวของระบบสุริยะจากเมฆก๊าซและฝุ่นที่หมุนอยู่,nebula,Hipotesis nebula menjelaskan pembentukan tata surya dari awan gas dan debu yang berputar.
aphelion,At aphelion the Earth is approximately 152 million kilometres from the Sun.,원일점,원일점에서 지구는 태양으로부터 약 1억 5200만 킬로미터 떨어져 있다.,遠日点,遠日点で地球は太陽からおよそ1億5200万キロメートル離れている。,远日点,在远日点地球距太阳约1.52亿公里。,afelio,En el afelio la Tierra está a aproximadamente 152 millones de kilómetros del Sol.,viễn nhật điểm,Tại viễn nhật điểm Trái Đất cách Mặt Trời khoảng 152 triệu kilômét.,จุดไกลดวงอาทิตย์ที่สุด,ที่จุดไกลดวงอาทิตย์ที่สุด โลกอยู่ห่างจากดวงอาทิตย์ประมาณ 152 ล้านกิโลเมตร,afelion,Pada titik afelion Bumi berjarak sekitar 152 juta kilometer dari Matahari.
parallax,Astronomers use stellar parallax to measure the distances to nearby stars with remarkable precision.,시차,천문학자들은 항성 시차를 사용하여 인근 별까지의 거리를 놀라운 정밀도로 측정한다.,視差,天文学者は恒星の視差を使って近くの星までの距離を驚くべき精度で測定する。,视差,天文学家利用恒星视差以惊人的精度测量附近恒星的距离。,paralaje,Los astrónomos usan el paralaje estelar para medir las distancias a las estrellas cercanas con notable precisión.,thị sai,Các nhà thiên văn sử dụng thị sai sao để đo khoảng cách đến các ngôi sao gần với độ chính xác đáng kinh ngạc.,พารัลแลกซ์,นักดาราศาสตร์ใช้พารัลแลกซ์ของดาวฤกษ์เพื่อวัดระยะทางไปยังดาวฤกษ์ใกล้เคียงด้วยความแม่นยำอย่างน่าทึ่ง,paralaks,Para astronom menggunakan paralaks bintang untuk mengukur jarak ke bintang-bintang terdekat dengan presisi yang luar biasa.
precession,The precession of Earth's rotational axis completes a full cycle approximately every 26000 years.,세차운동,지구 자전축의 세차운동은 약 26000년마다 한 번의 완전한 주기를 완성한다.,歳差運動,地球の自転軸の歳差運動はおよそ26000年ごとに完全な周期を完了する。,岁差,地球自转轴的岁差大约每26000年完成一个完整的周期。,precesión,La precesión del eje de rotación de la Tierra completa un ciclo completo aproximadamente cada 26000 años.,tuế sai,Tuế sai của trục quay Trái Đất hoàn thành một chu kỳ đầy đủ khoảng mỗi 26000 năm.,การส่ายของแกนหมุน,การส่ายของแกนหมุนของโลกเสร็จสมบูรณ์เป็นวงจรเต็มประมาณทุก 26000 ปี,presesi,Presesi sumbu rotasi Bumi menyelesaikan siklus penuh kira-kira setiap 26000 tahun.
sine,The sine function oscillates between negative one and positive one producing a smooth periodic wave.,사인,사인 함수는 -1과 1 사이에서 진동하며 매끄러운 주기적 파동을 생성한다.,サイン; 正弦,正弦関数は負の1と正の1の間で振動し滑らかな周期波を生成する。,正弦,正弦函数在负一和正一之间振荡产生平滑的周期波。,seno,La función seno oscila entre menos uno y más uno produciendo una onda periódica suave.,sin,Hàm sin dao động giữa âm một và dương một tạo ra một sóng tuần hoàn mượt mà.,ไซน์,ฟังก์ชันไซน์แกว่งระหว่างลบหนึ่งกับบวกหนึ่งสร้างคลื่นที่เรียบเป็นคาบ,sinus,Fungsi sinus berosilasi antara negatif satu dan positif satu menghasilkan gelombang periodik yang halus.
cosine,The cosine of an angle in a right triangle equals the ratio of the adjacent side to the hypotenuse.,코사인,직각삼각형에서 한 각의 코사인은 인접변과 빗변의 비율과 같다.,コサイン; 余弦,直角三角形における角のコサインは隣辺と斜辺の比に等しい。,余弦,直角三角形中一个角的余弦等于邻边与斜边的比值。,coseno,El coseno de un ángulo en un triángulo rectángulo es igual a la razón del cateto adyacente a la hipotenusa.,cosin,Cosin của một góc trong tam giác vuông bằng tỷ số giữa cạnh kề và cạnh huyền.,โคไซน์,โคไซน์ของมุมในสามเหลี่ยมมุมฉากเท่ากับอัตราส่วนของด้านประชิดต่อด้านตรงข้ามมุมฉาก,kosinus,Kosinus suatu sudut dalam segitiga siku-siku sama dengan rasio sisi yang berdekatan terhadap hipotenusa.
binomial,The binomial distribution models the number of successes in a fixed number of independent trials.,이항의,이항 분포는 고정된 수의 독립 시행에서의 성공 횟수를 모형화한다.,二項の,二項分布は一定回数の独立した試行における成功回数をモデル化する。,二项的,二项分布对固定次数独立试验中的成功次数进行建模。,binomial,La distribución binomial modela el número de éxitos en un número fijo de ensayos independientes.,nhị thức,Phân phối nhị thức mô hình hóa số lần thành công trong một số lượng cố định các phép thử độc lập.,ทวินาม,การแจกแจงทวินามจำลองจำนวนครั้งที่สำเร็จในจำนวนการทดลองอิสระที่แน่นอน,binomial,Distribusi binomial memodelkan jumlah keberhasilan dalam sejumlah percobaan independen yang tetap.
gaussian,The gaussian distribution commonly known as the bell curve appears frequently in natural and social phenomena.,가우스의; 정규 분포의,정규 분포라고도 알려진 가우스 분포는 자연 및 사회 현상에서 빈번하게 나타난다.,ガウスの,一般に釣鐘曲線として知られるガウス分布は自然現象や社会現象に頻繁に現れる。,高斯的,高斯分布通常被称为钟形曲线经常出现在自然和社会现象中。,gaussiana,La distribución gaussiana comúnmente conocida como la curva de campana aparece frecuentemente en fenómenos naturales y sociales.,Gauss,Phân phối Gauss thường được gọi là đường cong hình chuông xuất hiện thường xuyên trong các hiện tượng tự nhiên và xã hội.,เกาส์เซียน,การแจกแจงเกาส์เซียนหรือที่รู้จักกันในชื่อเส้นโค้งรูประฆังปรากฏบ่อยครั้งในปรากฏการณ์ทางธรรมชาติและสังคม,Gaussian,Distribusi Gaussian yang dikenal sebagai kurva lonceng sering muncul dalam fenomena alam dan sosial.
isomorphism,The isomorphism between the two algebraic structures means they share identical operational properties.,동형사상,두 대수적 구조 사이의 동형사상은 동일한 연산 속성을 공유함을 의미한다.,同型,二つの代数的構造の間の同型はそれらが同一の演算的性質を共有することを意味する。,同构,两个代数结构之间的同构意味着它们共享相同的运算性质。,isomorfismo,El isomorfismo entre las dos estructuras algebraicas significa que comparten propiedades operacionales idénticas.,phép đẳng cấu,Phép đẳng cấu giữa hai cấu trúc đại số có nghĩa là chúng có các tính chất phép toán giống hệt nhau.,สมสัณฐาน,สมสัณฐานระหว่างโครงสร้างพีชคณิตทั้งสองหมายความว่ามีคุณสมบัติการดำเนินการเหมือนกัน,isomorfisme,Isomorfisme antara dua struktur aljabar berarti keduanya memiliki sifat operasional yang identik.
parabola,A parabola is the set of all points equidistant from a fixed point called the focus and a fixed line called the directrix.,포물선,포물선은 초점이라 불리는 고정점과 준선이라 불리는 고정선으로부터 등거리에 있는 모든 점의 집합이다.,放物線,放物線は焦点と呼ばれる定点と準線と呼ばれる定直線から等距離にあるすべての点の集合である。,抛物线,抛物线是到一个称为焦点的定点和一条称为准线的定直线等距的所有点的集合。,parábola,Una parábola es el conjunto de todos los puntos equidistantes de un punto fijo llamado foco y una línea fija llamada directriz.,parabol,Parabol là tập hợp tất cả các điểm cách đều một điểm cố định gọi là tiêu điểm và một đường thẳng cố định gọi là đường chuẩn.,พาราโบลา,พาราโบลาคือเซตของจุดทั้งหมดที่อยู่ห่างเท่ากันจากจุดคงที่เรียกว่าจุดโฟกัสและเส้นคงที่เรียกว่าไดเรกทริกซ์,parabola,Parabola adalah himpunan semua titik yang berjarak sama dari titik tetap yang disebut fokus dan garis tetap yang disebut direktriks.
hyperbola,The trajectory of certain comets follows a hyperbola indicating they will never return to the inner solar system.,쌍곡선,특정 혜성의 궤적은 쌍곡선을 따르며 이는 내부 태양계로 다시 돌아오지 않을 것임을 나타낸다.,双曲線,ある彗星の軌道は双曲線を描きそれらが内部太陽系に戻ることはないことを示している。,双曲线,某些彗星的轨迹遵循双曲线表明它们永远不会回到内太阳系。,hipérbola,La trayectoria de ciertos cometas sigue una hipérbola lo que indica que nunca regresarán al sistema solar interior.,hyperbol,Quỹ đạo của một số sao chổi tuân theo đường hyperbol cho thấy chúng sẽ không bao giờ quay lại hệ mặt trời bên trong.,ไฮเพอร์โบลา,วิถีของดาวหางบางดวงเป็นไฮเพอร์โบลาซึ่งบ่งชี้ว่าจะไม่กลับมายังระบบสุริยะชั้นในอีก,hiperbola,Lintasan komet tertentu mengikuti hiperbola yang menunjukkan bahwa mereka tidak akan pernah kembali ke tata surya bagian dalam.
proportional,In a proportional representation system legislative seats are allocated according to each party's share of the total vote.,비례적인,비례대표제에서 입법부 의석은 각 정당의 총 투표 비율에 따라 배분된다.,比例の,比例代表制では議席は各政党の総得票率に応じて配分される。,比例的,在比例代表制中立法机构的席位按照各党在总票数中的份额来分配。,proporcional,En un sistema de representación proporcional los escaños legislativos se asignan según la proporción de votos totales de cada partido.,tỷ lệ,Trong hệ thống đại diện tỷ lệ ghế trong cơ quan lập pháp được phân bổ theo tỷ lệ phiếu bầu của mỗi đảng.,สัดส่วน,ในระบบสัดส่วน ที่นั่งในสภานิติบัญญัติจะถูกจัดสรรตามส่วนแบ่งคะแนนเสียงรวมของแต่ละพรรค,proporsional,Dalam sistem representasi proporsional kursi legislatif dialokasikan sesuai dengan pangsa suara total masing-masing partai.
quadratic,The quadratic formula provides the exact roots of any second-degree polynomial equation.,이차의,이차 공식은 모든 2차 다항식 방정식의 정확한 근을 제공한다.,二次の,二次方程式の公式はあらゆる二次多項式方程式の正確な根を提供する。,二次的,二次公式提供任何二次多项式方程的精确根。,cuadrático,La fórmula cuadrática proporciona las raíces exactas de cualquier ecuación polinómica de segundo grado.,bậc hai,Công thức bậc hai cung cấp các nghiệm chính xác của bất kỳ phương trình đa thức bậc hai nào.,กำลังสอง,สูตรกำลังสองให้ค่ารากที่แน่นอนของสมการพหุนามดีกรีสองใด ๆ,kuadrat,Rumus kuadrat memberikan akar yang tepat dari setiap persamaan polinomial berderajat dua.
elliptical,Kepler demonstrated that planetary orbits are elliptical rather than perfectly circular.,타원의,케플러는 행성 궤도가 완전한 원이 아니라 타원이라는 것을 증명했다.,楕円の,ケプラーは惑星の軌道が完全な円ではなく楕円であることを証明した。,椭圆的,开普勒证明了行星轨道是椭圆形的而不是完美的圆形。,elíptico,Kepler demostró que las órbitas planetarias son elípticas en lugar de perfectamente circulares.,hình elip,Kepler chứng minh rằng quỹ đạo hành tinh là hình elip chứ không phải hình tròn hoàn hảo.,วงรี,เคปเลอร์พิสูจน์ว่าวงโคจรของดาวเคราะห์เป็นวงรีไม่ใช่วงกลมสมบูรณ์,elips,Kepler menunjukkan bahwa orbit planet berbentuk elips bukan lingkaran sempurna.
infinitesimal,Leibniz's use of infinitesimal quantities laid the conceptual groundwork for modern calculus.,무한소의; 극소의,라이프니츠의 무한소 양 사용은 현대 미적분학의 개념적 기초를 놓았다.,無限小の,ライプニッツの無限小量の使用は現代の微積分の概念的基礎を築いた。,无穷小的,莱布尼茨对无穷小量的使用为现代微积分奠定了概念基础。,infinitesimal,El uso de cantidades infinitesimales por parte de Leibniz sentó las bases conceptuales del cálculo moderno.,vô cùng nhỏ,Việc Leibniz sử dụng các đại lượng vô cùng nhỏ đã đặt nền tảng khái niệm cho phép tính hiện đại.,เล็กจิ๋ว; อนันต์น้อย,การใช้ปริมาณอนันต์น้อยของไลบ์นิซวางรากฐานแนวคิดสำหรับแคลคูลัสสมัยใหม่,infinitesimal,Penggunaan kuantitas infinitesimal oleh Leibniz meletakkan dasar konseptual untuk kalkulus modern.
tessellation,A tessellation is a pattern of shapes that fit together perfectly without any gaps or overlaps.,테셀레이션; 쪽매맞춤,테셀레이션은 빈틈이나 겹침 없이 완벽하게 맞추어지는 도형의 패턴이다.,テッセレーション,テッセレーションは隙間も重なりもなく完全にはまり合う形のパターンである。,镶嵌,镶嵌是一种形状完美拼合没有任何间隙或重叠的图案。,teselación,Una teselación es un patrón de formas que encajan perfectamente sin huecos ni superposiciones.,sự lát gạch,Sự lát gạch là một mẫu hình dạng ghép khít với nhau hoàn hảo không có khoảng trống hay chồng chéo.,การปูกระเบื้อง,การปูกระเบื้องเป็นรูปแบบของรูปทรงที่เข้ากันอย่างสมบูรณ์โดยไม่มีช่องว่างหรือการซ้อนทับ,teselasi,Teselasi adalah pola bentuk yang cocok satu sama lain secara sempurna tanpa celah atau tumpang tindih.
geocentric,The geocentric model which placed the Earth at the centre of the cosmos was eventually superseded by the heliocentric theory.,지구 중심의,지구를 우주의 중심에 놓았던 지구 중심 모델은 결국 태양 중심 이론으로 대체되었다.,地球中心の,地球を宇宙の中心に置いた地球中心モデルは最終的に太陽中心説に取って代わられた。,地心的,将地球置于宇宙中心的地心模型最终被日心理论所取代。,geocéntrico,El modelo geocéntrico que colocaba la Tierra en el centro del cosmos fue finalmente reemplazado por la teoría heliocéntrica.,địa tâm,Mô hình địa tâm đặt Trái Đất ở trung tâm vũ trụ cuối cùng đã bị thay thế bởi thuyết nhật tâm.,ที่มีโลกเป็นศูนย์กลาง,แบบจำลองที่มีโลกเป็นศูนย์กลางซึ่งวางโลกไว้ที่ศูนย์กลางจักรวาลถูกแทนที่ด้วยทฤษฎีสุริยจักรวาลในที่สุด,geosentris,Model geosentris yang menempatkan Bumi di pusat kosmos akhirnya digantikan oleh teori heliosentris.
heliocentric,Copernicus proposed the heliocentric model asserting that the Earth and other planets revolve around the Sun.,태양 중심의,코페르니쿠스는 지구와 다른 행성들이 태양을 중심으로 공전한다고 주장하는 태양 중심 모델을 제안했다.,太陽中心の,コペルニクスは地球と他の惑星が太陽の周りを回ると主張する太陽中心モデルを提唱した。,日心的,哥白尼提出了日心模型主张地球和其他行星围绕太阳运行。,heliocéntrico,Copérnico propuso el modelo heliocéntrico afirmando que la Tierra y otros planetas giran alrededor del Sol.,nhật tâm,Copernicus đề xuất mô hình nhật tâm khẳng định rằng Trái Đất và các hành tinh khác quay quanh Mặt Trời.,ที่มีดวงอาทิตย์เป็นศูนย์กลาง,โคเปอร์นิคัสเสนอแบบจำลองที่มีดวงอาทิตย์เป็นศูนย์กลางโดยยืนยันว่าโลกและดาวเคราะห์อื่นโคจรรอบดวงอาทิตย์,heliosentris,Copernicus mengusulkan model heliosentris yang menyatakan bahwa Bumi dan planet lain berputar mengelilingi Matahari.
propagation,The propagation of electromagnetic waves through a vacuum occurs at the speed of light.,전파; 전달,진공을 통한 전자기파의 전파는 빛의 속도로 일어난다.,伝播,真空中の電磁波の伝播は光の速度で起こる。,传播,电磁波在真空中的传播以光速发生。,propagación,La propagación de ondas electromagnéticas a través del vacío ocurre a la velocidad de la luz.,sự lan truyền,Sự lan truyền của sóng điện từ qua chân không xảy ra ở tốc độ ánh sáng.,การแพร่กระจาย,การแพร่กระจายของคลื่นแม่เหล็กไฟฟ้าผ่านสุญญากาศเกิดขึ้นที่ความเร็วแสง,propagasi,Propagasi gelombang elektromagnetik melalui ruang hampa terjadi pada kecepatan cahaya.
reciprocal,The reciprocal of any non-zero number is obtained by dividing one by that number.,역수의; 상호적인,0이 아닌 모든 수의 역수는 그 수로 1을 나누어 얻는다.,逆数の,ゼロでない任意の数の逆数はその数で1を割ることによって得られる。,倒数的,任何非零数的倒数都可以通过用一除以该数来获得。,recíproco,El recíproco de cualquier número distinto de cero se obtiene dividiendo uno entre ese número.,nghịch đảo,Nghịch đảo của bất kỳ số khác không nào được lấy bằng cách chia một cho số đó.,ส่วนกลับ,ส่วนกลับของจำนวนที่ไม่เป็นศูนย์ใด ๆ ได้จากการหารหนึ่งด้วยจำนวนนั้น,kebalikan,Kebalikan dari bilangan bukan nol diperoleh dengan membagi satu dengan bilangan tersebut.
congruent,"Two triangles are congruent if they have exactly the same shape and size.",합동인,두 삼각형은 모양과 크기가 정확히 같으면 합동이다.,合同な,二つの三角形はまったく同じ形と大きさであれば合同である。,全等的,如果两个三角形形状和大小完全相同则它们是全等的。,congruente,Dos triángulos son congruentes si tienen exactamente la misma forma y tamaño.,đồng dạng bằng nhau,Hai tam giác đồng dạng bằng nhau nếu chúng có cùng hình dạng và kích thước.,สมภาค,สามเหลี่ยมสองรูปเป็นสมภาคกันถ้ามีรูปร่างและขนาดเท่ากัน,kongruen,Dua segitiga kongruen jika memiliki bentuk dan ukuran yang persis sama.
hypotenuse,"The hypotenuse is always the longest side of a right triangle lying opposite the right angle.",빗변,빗변은 항상 직각삼각형에서 직각의 맞은편에 있는 가장 긴 변이다.,斜辺,斜辺は常に直角三角形の直角の対辺で最も長い辺である。,斜边,斜边总是直角三角形中最长的边位于直角的对面。,hipotenusa,La hipotenusa es siempre el lado más largo de un triángulo rectángulo y se encuentra opuesta al ángulo recto.,cạnh huyền,Cạnh huyền luôn là cạnh dài nhất của tam giác vuông nằm đối diện với góc vuông.,ด้านตรงข้ามมุมฉาก,ด้านตรงข้ามมุมฉากเป็นด้านที่ยาวที่สุดของสามเหลี่ยมมุมฉากเสมอ อยู่ตรงข้ามกับมุมฉาก,hipotenusa,Hipotenusa selalu merupakan sisi terpanjang dari segitiga siku-siku yang terletak berhadapan dengan sudut siku-siku.
datum,"Each datum in the dataset was cross-referenced against multiple independent sources to ensure accuracy.",데이터; 자료(단수),데이터 세트의 각 자료는 정확성을 보장하기 위해 여러 독립적 출처와 교차 참조되었다.,データ(単数形),データセット内の各データは正確性を確保するために複数の独立した情報源と照合された。,数据(单数),数据集中的每个数据都与多个独立来源进行了交叉引用以确保准确性。,dato,Cada dato en el conjunto de datos fue cotejado con múltiples fuentes independientes para garantizar la precisión.,dữ liệu đơn,Mỗi dữ liệu đơn trong tập dữ liệu được đối chiếu chéo với nhiều nguồn độc lập để đảm bảo tính chính xác.,ข้อมูล(เอกพจน์),แต่ละข้อมูลในชุดข้อมูลถูกตรวจสอบไขว้กับหลายแหล่งอิสระเพื่อให้แน่ใจว่ามีความถูกต้อง,datum,Setiap datum dalam kumpulan data dirujuk silang terhadap beberapa sumber independen untuk memastikan akurasi.
aberration,"The chromatic aberration in the telescope lens caused coloured fringes to appear around bright objects.",수차,망원경 렌즈의 색수차가 밝은 물체 주위에 색깔 있는 테두리를 나타나게 했다.,収差,望遠鏡のレンズの色収差により明るい物体の周りに色のにじみが現れた。,色差,望远镜镜片的色差导致明亮物体周围出现彩色条纹。,aberración,La aberración cromática en la lente del telescopio causó que aparecieran franjas de color alrededor de los objetos brillantes.,quang sai,Quang sai màu trong thấu kính kính thiên văn khiến các viền màu xuất hiện xung quanh các vật thể sáng.,ความคลาดเคลื่อน,ความคลาดเคลื่อนของสีในเลนส์กล้องโทรทรรศน์ทำให้เกิดขอบสีรอบวัตถุที่สว่าง,aberasi,Aberasi kromatik pada lensa teleskop menyebabkan pinggiran berwarna muncul di sekitar objek terang.
determinant,"The determinant of a square matrix indicates whether the matrix is invertible.",행렬식,정방 행렬의 행렬식은 해당 행렬이 역행렬을 가지는지 여부를 나타낸다.,行列式,正方行列の行列式はその行列が逆行列を持つかどうかを示す。,行列式,方阵的行列式表明该矩阵是否可逆。,determinante,El determinante de una matriz cuadrada indica si la matriz es invertible.,định thức,Định thức của một ma trận vuông cho biết ma trận đó có khả nghịch hay không.,ดีเทอร์มิแนนต์,ดีเทอร์มิแนนต์ของเมทริกซ์จัตุรัสบ่งบอกว่าเมทริกซ์สามารถหาเมทริกซ์ผกผันได้หรือไม่,determinan,Determinan dari matriks persegi menunjukkan apakah matriks tersebut dapat dibalik.
quasiparticle,"In condensed matter physics a quasiparticle is an emergent phenomenon that behaves as though it were a distinct particle.",준입자,응집물질물리학에서 준입자는 마치 별개의 입자인 것처럼 행동하는 창발적 현상이다.,準粒子,凝縮系物理学における準粒子はあたかも独立した粒子のように振る舞う創発的現象である。,准粒子,在凝聚态物理学中准粒子是一种表现得像独立粒子一样的涌现现象。,cuasipartícula,En la física de la materia condensada una cuasipartícula es un fenómeno emergente que se comporta como si fuera una partícula distinta.,giả hạt,Trong vật lý vật chất ngưng tụ giả hạt là một hiện tượng xuất hiện hành xử như thể nó là một hạt riêng biệt.,ควาไซพาร์ติเคิล,ในฟิสิกส์ของสสารควบแน่น ควาไซพาร์ติเคิลเป็นปรากฏการณ์ที่เกิดขึ้นใหม่ที่ทำตัวราวกับเป็นอนุภาคที่แตกต่าง,kuasipartikel,Dalam fisika materi terkondensasi kuasipartikel adalah fenomena emergen yang berperilaku seolah-olah merupakan partikel yang berbeda.
