brinkmanship,"The leader's brinkmanship brought the two nations dangerously close to armed conflict.",벼랑 끝 전술,"지도자의 벼랑 끝 전술은 두 나라를 무력 충돌의 위험한 경계로 몰고 갔다.",瀬戸際政策,"指導者の瀬戸際政策は両国を武力衝突の危険な境界に追い込んだ。",边缘政策,"领导人的边缘政策使两国危险地接近武装冲突。",política de riesgo calculado,"La política de riesgo calculado del líder llevó a las dos naciones peligrosamente cerca de un conflicto armado.",chính sách bên miệng hố chiến tranh,"Chính sách bên miệng hố chiến tranh của nhà lãnh đạo đã đưa hai quốc gia đến gần xung đột vũ trang một cách nguy hiểm.",นโยบายเสี่ยงขั้นสุด,"นโยบายเสี่ยงขั้นสุดของผู้นำทำให้ทั้งสองประเทศเข้าใกล้ความขัดแย้งทางอาวุธอย่างอันตราย",politik brinksmanship,"Politik brinksmanship pemimpin tersebut membawa kedua negara sangat dekat ke konflik bersenjata."
zero-knowledge proof,"A zero-knowledge proof allows one party to prove possession of information without revealing the information itself.",영지식 증명,"영지식 증명은 한 당사자가 정보 자체를 공개하지 않고 정보의 소유를 증명할 수 있게 한다.",ゼロ知識証明,ゼロ知識証明は情報自体を明かすことなく情報の所有を証明することを可能にする。,零知识证明,零知识证明允许一方在不透露信息本身的情况下证明拥有该信息。,prueba de conocimiento cero,Una prueba de conocimiento cero permite a una parte demostrar la posesión de información sin revelar la información en sí.,chứng minh không tiết lộ,Chứng minh không tiết lộ cho phép một bên chứng minh sở hữu thông tin mà không tiết lộ chính thông tin đó.,การพิสูจน์แบบไม่เปิดเผยความรู้,การพิสูจน์แบบไม่เปิดเผยความรู้อนุญาตให้ฝ่ายหนึ่งพิสูจน์การครอบครองข้อมูลโดยไม่เปิดเผยข้อมูลนั้น,bukti tanpa pengetahuan,Bukti tanpa pengetahuan memungkinkan satu pihak membuktikan kepemilikan informasi tanpa mengungkapkan informasi itu sendiri.
homomorphic encryption,"Homomorphic encryption enables computations on encrypted data without requiring prior decryption.",동형 암호,"동형 암호는 사전 복호화 없이 암호화된 데이터에 대한 연산을 가능하게 한다.",準同型暗号,準同型暗号は事前の復号を必要とせずに暗号化されたデータ上での計算を可能にする。,同态加密,同态加密允许在不需要事先解密的情况下对加密数据进行计算。,cifrado homomórfico,El cifrado homomórfico permite realizar cálculos sobre datos cifrados sin requerir descifrado previo.,mã hóa đồng cấu,Mã hóa đồng cấu cho phép thực hiện tính toán trên dữ liệu đã mã hóa mà không cần giải mã trước.,การเข้ารหัสแบบโฮโมมอร์ฟิก,การเข้ารหัสแบบโฮโมมอร์ฟิกช่วยให้คำนวณข้อมูลที่เข้ารหัสได้โดยไม่ต้องถอดรหัสก่อน,enkripsi homomorfik,Enkripsi homomorfik memungkinkan komputasi pada data terenkripsi tanpa memerlukan dekripsi terlebih dahulu.
elliptic curve,"Elliptic curve cryptography achieves equivalent security to RSA with significantly smaller key sizes.",타원 곡선,"타원 곡선 암호학은 상당히 작은 키 크기로 RSA와 동등한 보안을 달성한다.",楕円曲線,楕円曲線暗号は大幅に小さい鍵サイズでRSAと同等のセキュリティを達成する。,椭圆曲线,椭圆曲线密码学以显著更小的密钥大小实现了与RSA等效的安全性。,curva elíptica,La criptografía de curva elíptica logra una seguridad equivalente a RSA con tamaños de clave significativamente más pequeños.,đường cong elliptic,Mật mã đường cong elliptic đạt được mức bảo mật tương đương RSA với kích thước khóa nhỏ hơn đáng kể.,เส้นโค้งวงรี,การเข้ารหัสเส้นโค้งวงรีบรรลุความปลอดภัยเทียบเท่า RSA ด้วยขนาดกุญแจที่เล็กกว่ามาก,kurva eliptik,Kriptografi kurva eliptik mencapai keamanan setara RSA dengan ukuran kunci yang jauh lebih kecil.
quantum-resistant,"Researchers are developing quantum-resistant algorithms to prepare for the threat of quantum computing.",양자 내성의,"연구자들은 양자 컴퓨팅의 위협에 대비하기 위해 양자 내성 알고리즘을 개발하고 있다.",耐量子の,研究者は量子コンピューティングの脅威に備えて耐量子アルゴリズムを開発している。,抗量子的,研究人员正在开发抗量子算法以应对量子计算的威胁。,resistente a la cuántica,Los investigadores están desarrollando algoritmos resistentes a la computación cuántica para prepararse ante la amenaza cuántica.,kháng lượng tử,Các nhà nghiên cứu đang phát triển các thuật toán kháng lượng tử để chuẩn bị cho mối đe dọa của điện toán lượng tử.,ทนทานต่อควอนตัม,นักวิจัยกำลังพัฒนาอัลกอริทึมที่ทนทานต่อควอนตัมเพื่อเตรียมรับมือกับภัยคุกคามจากการประมวลผลควอนตัม,tahan kuantum,Peneliti sedang mengembangkan algoritma tahan kuantum untuk mempersiapkan ancaman komputasi kuantum.
decryption,"Unauthorized decryption of classified communications carries severe legal penalties in most jurisdictions.",복호화,"대부분의 관할권에서 기밀 통신의 무단 복호화는 심각한 법적 처벌을 수반한다.",復号,機密通信の不正な復号はほとんどの法域で厳しい法的罰則を伴う。,解密,在大多数司法管辖区未经授权解密机密通信将面临严厉的法律处罚。,descifrado,El descifrado no autorizado de comunicaciones clasificadas conlleva severas sanciones legales en la mayoría de las jurisdicciones.,giải mã,Giải mã trái phép các thông tin liên lạc mật sẽ bị xử phạt nghiêm khắc theo pháp luật ở hầu hết các khu vực tài phán.,การถอดรหัส,การถอดรหัสการสื่อสารลับโดยไม่ได้รับอนุญาตมีโทษทางกฎหมายร้ายแรงในเขตอำนาจศาลส่วนใหญ่,dekripsi,Dekripsi komunikasi rahasia tanpa izin membawa hukuman hukum yang berat di sebagian besar yurisdiksi.
public key infrastructure,"Public key infrastructure provides the framework for managing digital certificates and encryption keys.",공개 키 기반 구조,"공개 키 기반 구조는 디지털 인증서와 암호화 키를 관리하기 위한 프레임워크를 제공한다.",公開鍵基盤,公開鍵基盤はデジタル証明書と暗号化鍵を管理するためのフレームワークを提供する。,公钥基础设施,公钥基础设施为管理数字证书和加密密钥提供了框架。,infraestructura de clave pública,La infraestructura de clave pública proporciona el marco para gestionar certificados digitales y claves de cifrado.,hạ tầng khóa công khai,Hạ tầng khóa công khai cung cấp khuôn khổ để quản lý chứng chỉ số và khóa mã hóa.,โครงสร้างพื้นฐานกุญแจสาธารณะ,โครงสร้างพื้นฐานกุญแจสาธารณะจัดเตรียมกรอบงานสำหรับจัดการใบรับรองดิจิทัลและกุญแจเข้ารหัส,infrastruktur kunci publik,Infrastruktur kunci publik menyediakan kerangka kerja untuk mengelola sertifikat digital dan kunci enkripsi.
ethnography,"Ethnography requires prolonged immersion in a community to understand its cultural practices from within.",민족지학,"민족지학은 내부에서 문화적 관행을 이해하기 위해 공동체에 장기간 몰입할 것을 요구한다.",民族誌学,民族誌学は文化的慣行を内側から理解するためにコミュニティへの長期的な没入を必要とする。,民族志学,民族志学需要长期融入社区以从内部了解其文化实践。,etnografía,La etnografía requiere una inmersión prolongada en una comunidad para comprender sus prácticas culturales desde dentro.,dân tộc học,Dân tộc học đòi hỏi sự hòa nhập lâu dài vào cộng đồng để hiểu các thực hành văn hóa từ bên trong.,ชาติพันธุ์วรรณนา,ชาติพันธุ์วรรณนาต้องการการเข้าไปอยู่ร่วมกับชุมชนเป็นเวลานานเพื่อเข้าใจวัฒนธรรมจากภายใน,etnografi,Etnografi memerlukan pencelupan berkepanjangan dalam komunitas untuk memahami praktik budayanya dari dalam.
kinship,"Kinship systems structure social obligations and inheritance patterns across diverse human societies.",친족 관계,"친족 관계 시스템은 다양한 인간 사회에서 사회적 의무와 상속 패턴을 구조화한다.",親族関係,親族関係システムは多様な人間社会において社会的義務と相続パターンを構造化する。,亲属关系,亲属关系系统在不同的人类社会中构建了社会义务和继承模式。,parentesco,Los sistemas de parentesco estructuran las obligaciones sociales y los patrones de herencia en diversas sociedades humanas.,quan hệ họ hàng,Các hệ thống quan hệ họ hàng cấu trúc các nghĩa vụ xã hội và mô hình thừa kế trong các xã hội khác nhau.,เครือญาติ,ระบบเครือญาติกำหนดโครงสร้างภาระผูกพันทางสังคมและรูปแบบการสืบทอดในสังคมมนุษย์ที่หลากหลาย,kekerabatan,Sistem kekerabatan menyusun kewajiban sosial dan pola pewarisan di berbagai masyarakat manusia.
ethnocentrism,"Ethnocentrism biases researchers who evaluate foreign customs through the lens of their own cultural norms.",자민족중심주의,"자민족중심주의는 자신의 문화적 규범의 렌즈를 통해 외국 관습을 평가하는 연구자들에게 편향을 일으킨다.",自民族中心主義,自民族中心主義は自文化の規範のレンズを通して外国の慣習を評価する研究者にバイアスをかける。,民族中心主义,民族中心主义使研究者倾向于用自己的文化规范来评价外国习俗。,etnocentrismo,El etnocentrismo sesga a los investigadores que evalúan costumbres extranjeras a través del prisma de sus propias normas culturales.,chủ nghĩa dân tộc trung tâm,Chủ nghĩa dân tộc trung tâm gây thiên kiến cho các nhà nghiên cứu đánh giá phong tục nước ngoài qua lăng kính chuẩn mực văn hóa của họ.,การยึดชาติพันธุ์ตนเป็นศูนย์กลาง,การยึดชาติพันธุ์ตนเป็นศูนย์กลางทำให้นักวิจัยมีอคติเมื่อประเมินประเพณีต่างชาติผ่านมุมมองของบรรทัดฐานทางวัฒนธรรมตนเอง,etnosentrisme,Etnosentrisme membuat bias peneliti yang mengevaluasi kebiasaan asing melalui lensa norma budaya mereka sendiri.
acculturation,"Acculturation occurs when prolonged contact between cultures leads to the adoption of new practices and beliefs.",문화 접변,"문화 접변은 문화 간의 장기적인 접촉이 새로운 관행과 신념의 채택으로 이어질 때 발생한다.",文化変容,文化変容は文化間の長期的な接触が新しい慣行や信念の採用につながるときに起こる。,文化涵化,当文化之间的长期接触导致采用新的习俗和信仰时就会发生文化涵化。,aculturación,La aculturación ocurre cuando el contacto prolongado entre culturas conduce a la adopción de nuevas prácticas y creencias.,giao thoa văn hóa,Giao thoa văn hóa xảy ra khi sự tiếp xúc kéo dài giữa các nền văn hóa dẫn đến việc tiếp nhận các thực hành và niềm tin mới.,การรับวัฒนธรรม,การรับวัฒนธรรมเกิดขึ้นเมื่อการติดต่อที่ยาวนานระหว่างวัฒนธรรมนำไปสู่การรับเอาแนวปฏิบัติและความเชื่อใหม่,akulturasi,Akulturasi terjadi ketika kontak berkepanjangan antara budaya mengarah pada adopsi praktik dan kepercayaan baru.
liminality,"Liminality describes the ambiguous transitional phase in rituals where participants exist between social states.",리미널리티,"리미널리티는 참가자가 사회적 상태 사이에 존재하는 의례의 모호한 전환 단계를 설명한다.",リミナリティ,リミナリティは参加者が社会的状態の間に存在する儀礼の曖昧な移行段階を表す。,阈限性,阈限性描述了仪式中参与者处于社会状态之间的模糊过渡阶段。,liminalidad,La liminalidad describe la fase de transición ambigua en los rituales donde los participantes existen entre estados sociales.,tính ngưỡng,Tính ngưỡng mô tả giai đoạn chuyển tiếp mơ hồ trong các nghi lễ nơi người tham gia tồn tại giữa các trạng thái xã hội.,สภาวะคาบเกี่ยว,สภาวะคาบเกี่ยวอธิบายช่วงเปลี่ยนผ่านที่คลุมเครือในพิธีกรรมที่ผู้เข้าร่วมอยู่ระหว่างสถานะทางสังคม,liminalitas,Liminalitas menggambarkan fase transisi ambigu dalam ritual di mana peserta berada di antara keadaan sosial.
cultural relativism,"Cultural relativism holds that no culture is inherently superior and each must be understood on its own terms.",문화 상대주의,"문화 상대주의는 어떤 문화도 본질적으로 우월하지 않으며 각 문화는 그 자체의 맥락에서 이해되어야 한다고 주장한다.",文化相対主義,文化相対主義はどの文化も本質的に優れているわけではなくそれぞれが独自の基準で理解されるべきだとする。,文化相对主义,文化相对主义认为没有文化天生优越每种文化必须根据其自身的标准来理解。,relativismo cultural,El relativismo cultural sostiene que ninguna cultura es inherentemente superior y cada una debe entenderse en sus propios términos.,chủ nghĩa tương đối văn hóa,Chủ nghĩa tương đối văn hóa cho rằng không có nền văn hóa nào vốn dĩ ưu việt hơn và mỗi nền văn hóa phải được hiểu theo cách riêng của nó.,สัมพัทธนิยมทางวัฒนธรรม,สัมพัทธนิยมทางวัฒนธรรมถือว่าไม่มีวัฒนธรรมใดเหนือกว่าโดยธรรมชาติและแต่ละวัฒนธรรมต้องเข้าใจตามเงื่อนไขของตนเอง,relativisme budaya,Relativisme budaya berpendapat bahwa tidak ada budaya yang secara inheren lebih unggul dan masing-masing harus dipahami menurut ketentuannya sendiri.
rite of passage,"A rite of passage marks the transition of an individual from one social status to another within the community.",통과의례,"통과의례는 공동체 내에서 한 개인의 사회적 지위에서 다른 지위로의 전환을 표시한다.",通過儀礼,通過儀礼はコミュニティ内での個人の社会的地位から別の地位への移行を示す。,通过仪式,通过仪式标志着个人在社区内从一种社会地位向另一种地位的转变。,rito de paso,Un rito de paso marca la transición de un individuo de un estatus social a otro dentro de la comunidad.,nghi lễ chuyển tiếp,Nghi lễ chuyển tiếp đánh dấu sự chuyển đổi của một cá nhân từ một địa vị xã hội này sang địa vị khác trong cộng đồng.,พิธีกรรมผ่านช่วงชีวิต,พิธีกรรมผ่านช่วงชีวิตเป็นเครื่องหมายการเปลี่ยนผ่านของบุคคลจากสถานะทางสังคมหนึ่งไปยังอีกสถานะหนึ่ง,ritus peralihan,Ritus peralihan menandai transisi individu dari satu status sosial ke status lainnya dalam komunitas.
totemism,"Totemism establishes a symbolic relationship between a social group and a natural entity such as an animal or plant.",토테미즘,"토테미즘은 사회 집단과 동물이나 식물과 같은 자연 존재 사이의 상징적 관계를 확립한다.",トーテミズム,トーテミズムは社会集団と動物や植物などの自然的存在との間に象徴的な関係を確立する。,图腾崇拜,图腾崇拜建立了社会群体与动物或植物等自然实体之间的象征关系。,totemismo,El totemismo establece una relación simbólica entre un grupo social y una entidad natural como un animal o planta.,tín ngưỡng vật tổ,Tín ngưỡng vật tổ thiết lập mối quan hệ biểu tượng giữa một nhóm xã hội và một thực thể tự nhiên như động vật hoặc thực vật.,ลัทธิโทเท็ม,ลัทธิโทเท็มสร้างความสัมพันธ์เชิงสัญลักษณ์ระหว่างกลุ่มสังคมกับสิ่งในธรรมชาติเช่นสัตว์หรือพืช,totemisme,Totemisme membangun hubungan simbolis antara kelompok sosial dan entitas alam seperti hewan atau tumbuhan.
syncretism,"Religious syncretism in Latin America blends indigenous spiritual practices with Catholic traditions.",혼합주의,"라틴 아메리카의 종교적 혼합주의는 토착 영적 관행과 가톨릭 전통을 혼합한다.",シンクレティズム,ラテンアメリカの宗教的シンクレティズムは先住民の精神的慣行とカトリックの伝統を融合させている。,宗教融合,拉丁美洲的宗教融合将原住民精神实践与天主教传统融为一体。,sincretismo,El sincretismo religioso en América Latina mezcla prácticas espirituales indígenas con tradiciones católicas.,tổng hợp tôn giáo,Sự tổng hợp tôn giáo ở Mỹ Latinh pha trộn các thực hành tâm linh bản địa với truyền thống Công giáo.,การผสมผสานทางศาสนา,การผสมผสานทางศาสนาในลาตินอเมริกาผสมผสานการปฏิบัติทางจิตวิญญาณของชนพื้นเมืองกับประเพณีคาทอลิก,sinkretisme,Sinkretisme agama di Amerika Latin memadukan praktik spiritual pribumi dengan tradisi Katolik.
exogamy,"Exogamy rules require individuals to marry outside their own clan or social group.",족외혼,"족외혼 규칙은 개인이 자신의 씨족이나 사회 집단 밖에서 결혼할 것을 요구한다.",族外婚,族外婚の規則は個人が自分の氏族や社会集団の外で結婚することを要求する。,族外婚,族外婚规则要求个人与自己的氏族或社会群体以外的人结婚。,exogamia,Las reglas de exogamia requieren que los individuos se casen fuera de su propio clan o grupo social.,hôn nhân ngoại tộc,Các quy tắc hôn nhân ngoại tộc yêu cầu cá nhân phải kết hôn ngoài thị tộc hoặc nhóm xã hội của mình.,การสมรสนอกกลุ่ม,กฎการสมรสนอกกลุ่มกำหนดให้บุคคลต้องแต่งงานนอกเผ่าหรือกลุ่มสังคมของตน,eksogami,Aturan eksogami mengharuskan individu menikah di luar klan atau kelompok sosial mereka sendiri.
matrilineal,"In matrilineal societies descent and inheritance are traced through the mother's ancestral line.",모계의,"모계 사회에서 혈통과 상속은 어머니의 조상 혈통을 통해 추적된다.",母系の,母系社会では血統と相続は母方の祖先の系統を通じて辿られる。,母系的,在母系社会中血统和继承通过母亲的祖先谱系来追溯。,matrilineal,En las sociedades matrilineales la descendencia y la herencia se trazan a través de la línea ancestral materna.,mẫu hệ,Trong các xã hội mẫu hệ dòng dõi và thừa kế được truy theo dòng tổ tiên của mẹ.,ฝ่ายมารดา,ในสังคมฝ่ายมารดาสายเลือดและมรดกจะสืบผ่านสายตระกูลของมารดา,matrilineal,Dalam masyarakat matrilineal keturunan dan warisan ditelusuri melalui garis leluhur ibu.
reciprocity,"Reciprocity in gift-giving economies creates binding social obligations between individuals and families.",호혜성,"증여 경제에서의 호혜성은 개인과 가족 간에 구속력 있는 사회적 의무를 생성한다.",互酬性,贈与経済における互酬性は個人や家族の間に拘束力のある社会的義務を生み出す。,互惠性,礼物经济中的互惠性在个人和家庭之间创造了具有约束力的社会义务。,reciprocidad,La reciprocidad en las economías de intercambio de regalos crea obligaciones sociales vinculantes entre individuos y familias.,sự có đi có lại,Sự có đi có lại trong nền kinh tế tặng quà tạo ra các nghĩa vụ xã hội ràng buộc giữa các cá nhân và gia đình.,การแลกเปลี่ยนตอบแทน,การแลกเปลี่ยนตอบแทนในเศรษฐกิจการให้ของขวัญสร้างภาระผูกพันทางสังคมระหว่างบุคคลและครอบครัว,resiprositas,Resiprositas dalam ekonomi pemberian hadiah menciptakan kewajiban sosial yang mengikat antara individu dan keluarga.
cultural hegemony,"Cultural hegemony explains how dominant groups maintain power through the dissemination of their values as universal norms.",문화적 패권,"문화적 패권은 지배 집단이 자신의 가치를 보편적 규범으로 전파함으로써 어떻게 권력을 유지하는지를 설명한다.",文化的ヘゲモニー,文化的ヘゲモニーは支配集団が自らの価値を普遍的規範として流布することで権力を維持する方法を説明する。,文化霸权,文化霸权解释了统治集团如何通过将其价值观作为普遍规范传播来维持权力。,hegemonía cultural,La hegemonía cultural explica cómo los grupos dominantes mantienen el poder mediante la difusión de sus valores como normas universales.,bá quyền văn hóa,Bá quyền văn hóa giải thích cách các nhóm thống trị duy trì quyền lực thông qua việc truyền bá giá trị của họ như các chuẩn mực phổ quát.,อำนาจนำทางวัฒนธรรม,อำนาจนำทางวัฒนธรรมอธิบายวิธีที่กลุ่มผู้มีอำนาจรักษาอำนาจผ่านการเผยแพร่ค่านิยมของตนเป็นบรรทัดฐานสากล,hegemoni budaya,Hegemoni budaya menjelaskan bagaimana kelompok dominan mempertahankan kekuasaan melalui penyebaran nilai-nilai mereka sebagai norma universal.
participant observation,"Participant observation demands that researchers actively engage in the daily life of the community they study.",참여 관찰,"참여 관찰은 연구자가 연구하는 공동체의 일상생활에 적극적으로 참여할 것을 요구한다.",参与観察,参与観察は研究者が研究対象のコミュニティの日常生活に積極的に参加することを要求する。,参与观察,参与观察要求研究者积极参与所研究社区的日常生活。,observación participante,La observación participante exige que los investigadores participen activamente en la vida diaria de la comunidad que estudian.,quan sát tham dự,Quan sát tham dự đòi hỏi các nhà nghiên cứu phải tích cực tham gia vào cuộc sống hàng ngày của cộng đồng họ nghiên cứu.,การสังเกตแบบมีส่วนร่วม,การสังเกตแบบมีส่วนร่วมต้องการให้นักวิจัยมีส่วนร่วมอย่างแข็งขันในชีวิตประจำวันของชุมชนที่ศึกษา,observasi partisipan,Observasi partisipan menuntut peneliti untuk terlibat aktif dalam kehidupan sehari-hari komunitas yang mereka pelajari.
cosmology,"Indigenous cosmology integrates spiritual beliefs and ecological knowledge into a unified worldview.",세계관; 우주관,"토착민의 세계관은 영적 신앙과 생태적 지식을 통합된 세계관으로 통합한다.",宇宙観,先住民の宇宙観は精神的信仰と生態学的知識を統一された世界観に統合する。,宇宙观,原住民宇宙观将精神信仰和生态知识整合为统一的世界观。,cosmología,La cosmología indígena integra creencias espirituales y conocimiento ecológico en una visión unificada del mundo.,vũ trụ quan,Vũ trụ quan bản địa tích hợp niềm tin tâm linh và kiến thức sinh thái thành một thế giới quan thống nhất.,จักรวาลวิทยา,จักรวาลวิทยาของชนพื้นเมืองรวมความเชื่อทางจิตวิญญาณและความรู้ทางนิเวศวิทยาเข้าเป็นโลกทัศน์ที่เป็นหนึ่งเดียว,kosmologi,Kosmologi pribumi mengintegrasikan kepercayaan spiritual dan pengetahuan ekologi ke dalam pandangan dunia yang terpadu.
patriarchy,"Feminist anthropologists have critiqued how patriarchy shapes gender roles and power dynamics across societies.",가부장제,"페미니스트 인류학자들은 가부장제가 사회 전반에서 성별 역할과 권력 역학을 어떻게 형성하는지를 비판해 왔다.",家父長制,フェミニスト人類学者は家父長制が社会全体のジェンダー役割と権力関係をどう形成するかを批判してきた。,父权制,女性主义人类学家批评了父权制如何塑造各社会的性别角色和权力动态。,patriarcado,Las antropólogas feministas han criticado cómo el patriarcado moldea los roles de género y las dinámicas de poder en las sociedades.,chế độ phụ quyền,Các nhà nhân loại học nữ quyền đã phê phán cách chế độ phụ quyền định hình vai trò giới và động lực quyền lực trong các xã hội.,ระบบปิตาธิปไตย,นักมานุษยวิทยาสตรีนิยมวิพากษ์วิจารณ์ว่าระบบปิตาธิปไตยกำหนดบทบาททางเพศและพลวัตอำนาจในสังคมต่างๆ อย่างไร,patriarki,Antropolog feminis telah mengkritik bagaimana patriarki membentuk peran gender dan dinamika kekuasaan di berbagai masyarakat.
subaltern,"Subaltern studies examine the perspectives and agency of marginalized populations excluded from dominant historical narratives.",서발턴,"서발턴 연구는 지배적인 역사적 서사에서 배제된 소외된 인구의 관점과 행위주체성을 검토한다.",サバルタン,サバルタン研究は支配的な歴史的ナラティブから排除された周縁化された人々の視点と主体性を検討する。,底层,底层研究考察被排除在主流历史叙事之外的边缘化群体的视角和能动性。,subalterno,Los estudios subalternos examinan las perspectivas y la agencia de poblaciones marginadas excluidas de las narrativas históricas dominantes.,nhóm bị trị,Nghiên cứu nhóm bị trị xem xét quan điểm và tính chủ thể của các dân số bị gạt ra ngoài lề khỏi các tường thuật lịch sử thống trị.,กลุ่มชายขอบ,การศึกษากลุ่มชายขอบตรวจสอบมุมมองและความสามารถในการกระทำของประชากรชายขอบที่ถูกกีดกันจากเรื่องเล่าทางประวัติศาสตร์กระแสหลัก,subaltern,Studi subaltern mengkaji perspektif dan agensi populasi terpinggirkan yang dikecualikan dari narasi sejarah dominan.
carbon sequestration,"Carbon sequestration through reforestation projects can offset a significant portion of industrial emissions.",탄소 격리,"조림 프로젝트를 통한 탄소 격리는 산업 배출량의 상당 부분을 상쇄할 수 있다.",炭素隔離,植林プロジェクトによる炭素隔離は産業排出量のかなりの部分を相殺できる。,碳封存,通过造林项目进行碳封存可以抵消相当一部分工业排放。,secuestro de carbono,El secuestro de carbono a través de proyectos de reforestación puede compensar una porción significativa de las emisiones industriales.,cô lập carbon,Cô lập carbon thông qua các dự án trồng rừng có thể bù đắp một phần đáng kể lượng khí thải công nghiệp.,การกักเก็บคาร์บอน,การกักเก็บคาร์บอนผ่านโครงการปลูกป่าสามารถชดเชยการปล่อยก๊าซจากภาคอุตสาหกรรมได้อย่างมีนัยสำคัญ,penyerapan karbon,Penyerapan karbon melalui proyek reboisasi dapat mengimbangi sebagian besar emisi industri.
biodiversity hotspot,"Biodiversity hotspots harbor disproportionately high numbers of endemic species threatened by habitat destruction.",생물다양성 핫스팟,"생물다양성 핫스팟은 서식지 파괴로 위협받는 고유종의 불균형적으로 높은 수를 보유하고 있다.",生物多様性ホットスポット,生物多様性ホットスポットは生息地破壊に脅かされている固有種が不釣り合いに多く生息している。,生物多样性热点,生物多样性热点地区拥有大量受栖息地破坏威胁的特有物种。,punto caliente de biodiversidad,Los puntos calientes de biodiversidad albergan números desproporcionadamente altos de especies endémicas amenazadas por la destrucción del hábitat.,điểm nóng đa dạng sinh học,Các điểm nóng đa dạng sinh học chứa số lượng loài đặc hữu cao bất thường bị đe dọa bởi sự phá hủy môi trường sống.,จุดร้อนความหลากหลายทางชีวภาพ,จุดร้อนความหลากหลายทางชีวภาพเป็นที่อยู่อาศัยของสิ่งมีชีวิตเฉพาะถิ่นจำนวนมากที่ถูกคุกคามจากการทำลายแหล่งที่อยู่อาศัย,hotspot keanekaragaman hayati,Hotspot keanekaragaman hayati menampung jumlah spesies endemik yang sangat tinggi yang terancam oleh kerusakan habitat.
emissions trading,"Emissions trading schemes create market-based incentives for corporations to reduce their greenhouse gas output.",배출권 거래,"배출권 거래 제도는 기업이 온실가스 배출을 줄이도록 시장 기반 인센티브를 만든다.",排出権取引,排出権取引制度は企業が温室効果ガスの排出量を削減するための市場ベースのインセンティブを創出する。,排放权交易,排放权交易计划为企业减少温室气体排放创造了基于市场的激励机制。,comercio de emisiones,Los esquemas de comercio de emisiones crean incentivos basados en el mercado para que las corporaciones reduzcan sus emisiones de gases de efecto invernadero.,giao dịch phát thải,Các kế hoạch giao dịch phát thải tạo ra các khuyến khích dựa trên thị trường để các doanh nghiệp giảm lượng khí nhà kính.,การซื้อขายสิทธิการปล่อยก๊าซ,โครงการซื้อขายสิทธิการปล่อยก๊าซสร้างแรงจูงใจตามกลไกตลาดให้บริษัทลดการปล่อยก๊าซเรือนกระจก,perdagangan emisi,Skema perdagangan emisi menciptakan insentif berbasis pasar bagi korporasi untuk mengurangi emisi gas rumah kaca mereka.
environmental remediation,"Environmental remediation of contaminated industrial sites involves complex chemical and biological treatment processes.",환경 정화,"오염된 산업 부지의 환경 정화는 복잡한 화학적 및 생물학적 처리 과정을 포함한다.",環境修復,汚染された工業用地の環境修復は複雑な化学的および生物学的処理プロセスを伴う。,环境修复,受污染工业场地的环境修复涉及复杂的化学和生物处理过程。,remediación ambiental,La remediación ambiental de sitios industriales contaminados involucra procesos complejos de tratamiento químico y biológico.,khắc phục môi trường,Khắc phục môi trường tại các khu công nghiệp ô nhiễm bao gồm các quy trình xử lý hóa học và sinh học phức tạp.,การฟื้นฟูสิ่งแวดล้อม,การฟื้นฟูสิ่งแวดล้อมของพื้นที่อุตสาหกรรมที่ปนเปื้อนเกี่ยวข้องกับกระบวนการบำบัดทางเคมีและชีวภาพที่ซับซ้อน,remediasi lingkungan,Remediasi lingkungan dari situs industri yang terkontaminasi melibatkan proses pengolahan kimia dan biologis yang kompleks.
precautionary principle,"The precautionary principle advocates for preventive action even when scientific evidence of harm remains inconclusive.",사전예방 원칙,"사전예방 원칙은 피해에 대한 과학적 증거가 결론에 이르지 못한 경우에도 예방 조치를 옹호한다.",予防原則,予防原則は被害の科学的証拠が決定的でない場合でも予防措置を講じることを提唱する。,预防原则,预防原则主张即使危害的科学证据尚无定论也应采取预防行动。,principio de precaución,El principio de precaución aboga por la acción preventiva incluso cuando la evidencia científica del daño sigue siendo inconclusa.,nguyên tắc phòng ngừa,Nguyên tắc phòng ngừa ủng hộ hành động phòng ngừa ngay cả khi bằng chứng khoa học về tác hại vẫn chưa kết luận.,หลักความระมัดระวัง,หลักความระมัดระวังสนับสนุนการดำเนินการป้องกันแม้ว่าหลักฐานทางวิทยาศาสตร์ของอันตรายยังไม่ชัดเจน,prinsip kehati-hatian,Prinsip kehati-hatian menganjurkan tindakan pencegahan bahkan ketika bukti ilmiah tentang kerugian masih belum meyakinkan.
