english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
decadence,Literary critics often associate decadence with the decline of aesthetic standards.,퇴폐,문학 비평가들은 종종 퇴폐를 미적 기준의 하락과 연관시킨다.,退廃,文学批評家はしばしば退廃を美的基準の低下と結びつける。,颓废,文学评论家常常将颓废与审美标准的下降联系起来。,decadencia,Los críticos literarios a menudo asocian la decadencia con el declive de los estándares estéticos.,sự suy đồi,Các nhà phê bình văn học thường liên kết sự suy đồi với sự suy giảm tiêu chuẩn thẩm mỹ.,ความเสื่อมโทรม,นักวิจารณ์วรรณกรรมมักเชื่อมโยงความเสื่อมโทรมกับการเสื่อมถอยของมาตรฐานทางสุนทรียศาสตร์,dekadensi,Kritikus sastra sering mengasosiasikan dekadensi dengan penurunan standar estetika.
hegemonic,The hegemonic narrative of progress was contested by indigenous historians.,패권적,진보의 패권적 서사는 원주민 역사가들에 의해 이의가 제기되었다.,覇権的な,進歩の覇権的な物語は先住民の歴史家たちによって異議を唱えられた。,霸权的,进步的霸权叙事受到了原住民历史学家的质疑。,hegemónico,La narrativa hegemónica del progreso fue cuestionada por historiadores indígenas.,bá quyền,Câu chuyện bá quyền về tiến bộ đã bị các nhà sử học bản địa phản bác.,ครอบงำ,วาทกรรมครอบงำของความก้าวหน้าถูกโต้แย้งโดยนักประวัติศาสตร์พื้นเมือง,hegemonik,Narasi hegemonik tentang kemajuan diperdebatkan oleh sejarawan pribumi.
lamentation,The ancient lamentation expresses collective grief over the fall of the city.,애가,그 고대 애가는 도시의 함락에 대한 집단적 슬픔을 표현한다.,嘆き,その古代の嘆きの歌は都市の陥落に対する集団的な悲しみを表現している。,哀歌,这首古代哀歌表达了对城市沦陷的集体哀痛。,lamentación,La antigua lamentación expresa el duelo colectivo por la caída de la ciudad.,bài ai ca,Bài ai ca cổ đại diễn tả nỗi đau tập thể về sự sụp đổ của thành phố.,บทคร่ำครวญ,บทคร่ำครวญโบราณแสดงความเศร้าโศกร่วมกันต่อการล่มสลายของเมือง,ratapan,Ratapan kuno mengungkapkan duka kolektif atas jatuhnya kota.
progenitor,Herodotus is often regarded as the progenitor of Western historical writing.,시조,헤로도토스는 종종 서양 역사 기술의 시조로 여겨진다.,始祖,ヘロドトスは西洋の歴史記述の始祖として見なされることが多い。,先驱,希罗多德常被视为西方历史写作的先驱。,progenitor,Heródoto es a menudo considerado como el progenitor de la escritura histórica occidental.,thủy tổ,Herodotus thường được coi là thủy tổ của truyền thống viết sử phương Tây.,บรรพบุรุษ,เฮโรโดตัสมักถูกมองว่าเป็นบรรพบุรุษของการเขียนประวัติศาสตร์ตะวันตก,nenek moyang,Herodotus sering dianggap sebagai nenek moyang penulisan sejarah Barat.
tableau vivant,The tableau vivant recreated famous paintings using living models on stage.,타블로 비방,타블로 비방은 무대에서 살아있는 모델을 사용하여 유명 회화를 재현했다.,活人画,タブロー・ビバンは舞台上で生きたモデルを使って有名な絵画を再現した。,活人画,活人画利用舞台上的真人模特重现了著名画作。,cuadro viviente,El cuadro viviente recreó pinturas famosas usando modelos vivos en el escenario.,tranh sống,Tranh sống tái hiện những bức họa nổi tiếng sử dụng người mẫu sống trên sân khấu.,ภาพมีชีวิต,ภาพมีชีวิตจำลองภาพวาดที่มีชื่อเสียงโดยใช้นายแบบนางแบบจริงบนเวที,tablo hidup,Tablo hidup merekonstruksi lukisan terkenal menggunakan model hidup di atas panggung.
eulogize,The biographer eulogized the composer's contribution to modern music.,찬양하다,그 전기 작가는 작곡가의 현대 음악에 대한 공헌을 찬양했다.,称賛する,その伝記作家は作曲家の現代音楽への貢献を称賛した。,颂扬,传记作者颂扬了作曲家对现代音乐的贡献。,elogiar,El biógrafo elogió la contribución del compositor a la música moderna.,ca tụng,Người viết tiểu sử ca tụng đóng góp của nhà soạn nhạc cho âm nhạc hiện đại.,สรรเสริญ,นักเขียนชีวประวัติสรรเสริญผลงานของนักแต่งเพลงต่อดนตรีสมัยใหม่,memuji,Penulis biografi memuji kontribusi komposer terhadap musik modern.
metamorphosis,The metamorphosis of the protagonist mirrors broader societal transformation.,변신,주인공의 변신은 더 넓은 사회적 변화를 반영한다.,変容,主人公の変容はより広い社会的変革を映し出している。,蜕变,主人公的蜕变反映了更广泛的社会变革。,metamorfosis,La metamorfosis del protagonista refleja una transformación social más amplia.,sự biến đổi,Sự biến đổi của nhân vật chính phản ánh sự chuyển đổi xã hội rộng lớn hơn.,การเปลี่ยนรูป,การเปลี่ยนรูปของตัวเอกสะท้อนการเปลี่ยนแปลงทางสังคมที่กว้างขวางขึ้น,metamorfosis,Metamorfosis protagonis mencerminkan transformasi masyarakat yang lebih luas.
vestiges,The vestiges of the ancient temple are barely visible beneath the modern city.,흔적,고대 사원의 흔적은 현대 도시 아래에 거의 보이지 않는다.,痕跡,古代神殿の痕跡は現代の都市の下にかろうじて見える。,遗迹,古代寺庙的遗迹在现代城市下方几乎看不见。,vestigios,Los vestigios del templo antiguo son apenas visibles bajo la ciudad moderna.,dấu tích,Dấu tích của ngôi đền cổ gần như không thể nhìn thấy dưới thành phố hiện đại.,ร่องรอย,ร่องรอยของวัดโบราณแทบจะมองไม่เห็นใต้เมืองสมัยใหม่,sisa-sisa,Sisa-sisa kuil kuno hampir tidak terlihat di bawah kota modern.
chivalric,The chivalric code governed the behaviour of knights in medieval European society.,기사도의,기사도 규범은 중세 유럽 사회에서 기사들의 행동을 지배했다.,騎士道の,騎士道の規範は中世ヨーロッパ社会における騎士の行動を統制した。,骑士的,骑士准则支配着中世纪欧洲社会骑士的行为。,caballeresco,El código caballeresco gobernaba el comportamiento de los caballeros en la sociedad europea medieval.,hiệp sĩ,Bộ quy tắc hiệp sĩ chi phối hành vi của các hiệp sĩ trong xã hội châu Âu trung cổ.,อัศวิน,ประมวลจริยธรรมอัศวินควบคุมพฤติกรรมของอัศวินในสังคมยุโรปยุคกลาง,ksatria,Kode ksatria mengatur perilaku para kesatria dalam masyarakat Eropa abad pertengahan.
epistolary,The epistolary novel unfolds through a series of intimate personal letters.,서간체의,서간체 소설은 일련의 친밀한 개인 편지를 통해 전개된다.,書簡体の,その書簡体小説は親密な個人的な手紙の連続を通じて展開する。,书信体的,这部书信体小说通过一系列亲密的个人信件展开。,epistolar,La novela epistolar se desarrolla a través de una serie de cartas personales íntimas.,thư tín,Tiểu thuyết thư tín diễn ra qua một loạt thư cá nhân thân mật.,จดหมาย,นวนิยายรูปแบบจดหมายเปิดเผยผ่านชุดจดหมายส่วนตัวที่ใกล้ชิด,epistolari,Novel epistolari terungkap melalui serangkaian surat pribadi yang intim.
totem,The totem served as a sacred symbol of the clan's ancestral identity.,토템,토템은 씨족의 조상 정체성의 신성한 상징으로 기능했다.,トーテム,トーテムは氏族の祖先のアイデンティティの神聖な象徴として機能した。,图腾,图腾作为氏族祖先身份的神圣象征。,tótem,El tótem servía como símbolo sagrado de la identidad ancestral del clan.,vật tổ,Vật tổ đóng vai trò là biểu tượng thiêng liêng của bản sắc tổ tiên thị tộc.,สัญลักษณ์ประจำเผ่า,สัญลักษณ์ประจำเผ่าทำหน้าที่เป็นสัญลักษณ์ศักดิ์สิทธิ์ของอัตลักษณ์บรรพบุรุษของเผ่า,totem,Totem berfungsi sebagai simbol suci identitas leluhur klan.
denouement,The denouement of the tragedy reveals the consequences of the protagonist's hubris.,결말,비극의 결말은 주인공의 오만의 결과를 드러낸다.,大団円,その悲劇の大団円は主人公の傲慢の結果を明らかにする。,结局,悲剧的结局揭示了主人公傲慢的后果。,desenlace,El desenlace de la tragedia revela las consecuencias de la arrogancia del protagonista.,kết cục,Kết cục của bi kịch tiết lộ hậu quả của sự kiêu ngạo của nhân vật chính.,ตอนจบ,ตอนจบของโศกนาฏกรรมเผยให้เห็นผลที่ตามมาของความหยิ่งยโสของตัวเอก,akhir cerita,Akhir cerita tragedi mengungkapkan konsekuensi dari keangkuhan protagonis.
antiquities,The looting of antiquities remains a significant threat to global cultural heritage.,고대 유물,고대 유물의 약탈은 세계 문화유산에 대한 중대한 위협으로 남아 있다.,古美術品,古美術品の略奪は世界の文化遺産に対する重大な脅威であり続けている。,古董,古董掠夺仍然是全球文化遗产的重大威胁。,antigüedades,El saqueo de antigüedades sigue siendo una amenaza significativa para el patrimonio cultural mundial.,cổ vật,Việc cướp bóc cổ vật vẫn là mối đe dọa đáng kể đối với di sản văn hóa toàn cầu.,โบราณวัตถุ,การปล้นโบราณวัตถุยังคงเป็นภัยคุกคามสำคัญต่อมรดกทางวัฒนธรรมของโลก,barang antik,Penjarahan barang antik tetap menjadi ancaman signifikan terhadap warisan budaya global.
oeuvre,The retrospective exhibition showcased the painter's complete oeuvre spanning five decades.,전작,회고전은 50년에 걸친 화가의 전작을 선보였다.,全作品,回顧展は5十年にわたる画家の全作品を展示した。,全部作品,回顾展展出了画家跨越五十年的全部作品。,obra,La exposición retrospectiva exhibió la obra completa del pintor que abarca cinco décadas.,toàn bộ tác phẩm,Triển lãm hồi cố trưng bày toàn bộ tác phẩm của họa sĩ trải dài năm thập kỷ.,ผลงานทั้งหมด,นิทรรศการย้อนหลังจัดแสดงผลงานทั้งหมดของจิตรกรที่ครอบคลุมห้าทศวรรษ,karya lengkap,Pameran retrospektif memamerkan karya lengkap pelukis yang mencakup lima dekade.
reliquary,The medieval reliquary was crafted from gold and encrusted with precious stones.,성유물함,중세 성유물함은 금으로 제작되고 보석으로 장식되었다.,聖遺物箱,中世の聖遺物箱は金で作られ貴石がちりばめられていた。,圣物箱,中世纪圣物箱由黄金制成并镶嵌着宝石。,relicario,El relicario medieval fue elaborado en oro e incrustado con piedras preciosas.,hộp thánh tích,Hộp thánh tích thời trung cổ được chế tác từ vàng và khảm đá quý.,ตู้พระธาตุ,ตู้พระธาตุยุคกลางทำจากทองคำและประดับด้วยอัญมณีล้ำค่า,relikui,Relikui abad pertengahan dibuat dari emas dan dihiasi batu mulia.
subversive,The subversive literature circulated underground during the authoritarian regime.,전복적인,전복적인 문학은 권위주의 체제 하에서 지하에서 유통되었다.,体制転覆的な,体制転覆的な文学は権威主義体制下で地下で流通した。,颠覆性的,颠覆性文学在威权体制下秘密流传。,subversivo,La literatura subversiva circuló clandestinamente durante el régimen autoritario.,lật đổ,Văn học lật đổ được lưu hành ngầm dưới chế độ độc tài.,ล้มล้าง,วรรณกรรมล้มล้างถูกเผยแพร่ใต้ดินในช่วงระบอบเผด็จการ,subversif,Sastra subversif beredar secara bawah tanah selama rezim otoriter.
bard,Shakespeare is often referred to as the Bard of Avon.,음유시인,셰익스피어는 종종 에이번의 음유시인으로 불린다.,吟遊詩人,シェイクスピアはしばしばエイヴォンの吟遊詩人と呼ばれる。,吟游诗人,莎士比亚常被称为埃文的吟游诗人。,bardo,Shakespeare a menudo se le conoce como el Bardo de Avon.,nhà thơ,Shakespeare thường được gọi là Nhà thơ xứ Avon.,กวี,เชกสเปียร์มักถูกเรียกว่ากวีแห่งเอวอน,penyair,Shakespeare sering disebut sebagai Penyair Avon.
hieroglyph,The deciphering of Egyptian hieroglyphs revolutionized our understanding of ancient history.,상형문자,이집트 상형문자의 해독은 고대 역사에 대한 이해에 혁명을 일으켰다.,象形文字,エジプトの象形文字の解読は古代史の理解に革命をもたらした。,象形文字,埃及象形文字的破译彻底改变了我们对古代历史的理解。,jeroglífico,El desciframiento de los jeroglíficos egipcios revolucionó nuestra comprensión de la historia antigua.,chữ tượng hình,Việc giải mã chữ tượng hình Ai Cập đã cách mạng hóa hiểu biết về lịch sử cổ đại.,อักษรภาพ,การถอดรหัสอักษรภาพอียิปต์ปฏิวัติความเข้าใจของเราเกี่ยวกับประวัติศาสตร์โบราณ,hieroglif,Penguraian hieroglif Mesir merevolusi pemahaman kita tentang sejarah kuno.
sarcophagus,The ornately carved sarcophagus reveals the burial customs of the Roman elite.,석관,정교하게 조각된 석관은 로마 귀족의 장례 관습을 드러낸다.,石棺,精巧に彫られた石棺はローマのエリートの埋葬習慣を明らかにする。,石棺,精美雕刻的石棺揭示了罗马精英的丧葬习俗。,sarcófago,El sarcófago ornamentalmente tallado revela las costumbres funerarias de la élite romana.,quan tài đá,Quan tài đá được chạm khắc tinh xảo cho thấy phong tục mai táng của giới quý tộc La Mã.,โลงหิน,โลงหินที่แกะสลักอย่างวิจิตรเผยให้เห็นประเพณีการฝังศพของชนชั้นสูงโรมัน,sarkofagus,Sarkofagus yang diukir indah mengungkapkan adat pemakaman elit Romawi.
invective,The political invective in the pamphlet reflects the bitter divisions of the era.,비난,팜플렛의 정치적 비난은 그 시대의 격렬한 분열을 반영한다.,罵倒,そのパンフレットの政治的罵倒はその時代の激しい対立を反映している。,谩骂,小册子中的政治谩骂反映了那个时代的激烈分裂。,invectiva,La invectiva política del panfleto refleja las amargas divisiones de la época.,lời mạ lỵ,Lời mạ lỵ chính trị trong tờ truyền đơn phản ánh sự chia rẽ cay đắng của thời đại.,คำด่าว่า,คำด่าว่าทางการเมืองในแผ่นพับสะท้อนความแตกแยกอันขมขื่นของยุคสมัย,cacian,Cacian politik dalam pamflet mencerminkan perpecahan pahit era tersebut.
aphorism,Oscar Wilde's aphorisms remain quoted for their wit and incisiveness.,경구,오스카 와일드의 경구는 재치와 예리함으로 계속 인용된다.,箴言,オスカー・ワイルドの箴言はそのウィットと鋭さで今なお引用されている。,格言,奥斯卡·王尔德的格言因其机智和犀利而至今仍被引用。,aforismo,Los aforismos de Oscar Wilde siguen siendo citados por su ingenio e incisividad.,cách ngôn,Cách ngôn của Oscar Wilde vẫn được trích dẫn vì sự dí dỏm và sắc sảo.,คำคม,คำคมของออสการ์ ไวลด์ยังคงถูกอ้างอิงเพราะไหวพริบและความเฉียบคม,aforisme,Aforisme Oscar Wilde tetap dikutip karena kecerdasan dan ketajamannya.
ornamentation,Baroque ornamentation reflects the era's preference for elaborate decorative expression.,장식,바로크 장식은 정교한 장식적 표현에 대한 그 시대의 선호를 반영한다.,装飾,バロックの装飾は精巧な装飾的表現に対するその時代の好みを反映している。,装饰,巴洛克装饰反映了那个时代对精致装饰表现的偏好。,ornamentación,La ornamentación barroca refleja la preferencia de la época por la expresión decorativa elaborada.,trang trí,Trang trí Baroque phản ánh sở thích của thời đại đối với biểu đạt trang trí cầu kỳ.,การประดับ,การประดับแบบบาโรกสะท้อนความนิยมของยุคสมัยในการแสดงออกเชิงตกแต่งที่วิจิตร,ornamentasi,Ornamentasi Barok mencerminkan preferensi era tersebut terhadap ekspresi dekoratif yang rumit.
verisimilitude,The novel achieves verisimilitude through meticulous historical detail.,사실성,그 소설은 꼼꼼한 역사적 세부 사항을 통해 사실성을 달성한다.,写実性,その小説は綿密な歴史的ディテールを通じて写実性を達成している。,逼真感,这部小说通过细致的历史细节达到了逼真感。,verosimilitud,La novela logra verosimilitud a través de detalles históricos meticulosos.,sự chân thực,Cuốn tiểu thuyết đạt được sự chân thực thông qua chi tiết lịch sử tỉ mỉ.,ความสมจริง,นวนิยายบรรลุความสมจริงผ่านรายละเอียดทางประวัติศาสตร์อย่างพิถีพิถัน,kebenaran,Novel ini mencapai kebenaran melalui detail sejarah yang teliti.
millenarian,The millenarian movement anticipated a radical transformation of society.,천년왕국의,천년왕국 운동은 사회의 급진적 변혁을 기대했다.,千年王国の,千年王国運動は社会の急進的な変革を予期した。,千禧年的,千禧年运动期待社会的根本性变革。,milenarista,El movimiento milenarista anticipaba una transformación radical de la sociedad.,thiên niên kỷ,Phong trào thiên niên kỷ kỳ vọng một sự chuyển đổi căn bản của xã hội.,พันปี,ขบวนการพันปีคาดหวังการเปลี่ยนแปลงสังคมอย่างถอนรากถอนโคน,milenarian,Gerakan milenarian mengantisipasi transformasi radikal masyarakat.
parchment,The ancient parchment preserves a rare record of early Christian liturgy.,양피지,고대 양피지는 초기 기독교 전례의 희귀한 기록을 보존하고 있다.,羊皮紙,その古代の羊皮紙は初期キリスト教の典礼の稀有な記録を保存している。,羊皮纸,这张古代羊皮纸保存了早期基督教礼拜仪式的珍贵记录。,pergamino,El antiguo pergamino preserva un raro registro de la liturgia cristiana primitiva.,giấy da,Giấy da cổ đại bảo tồn một bản ghi hiếm hoi về phụng vụ Cơ đốc giáo sơ khai.,กระดาษหนัง,กระดาษหนังโบราณรักษาบันทึกหายากของพิธีกรรมคริสเตียนยุคแรก,perkamen,Perkamen kuno menyimpan catatan langka liturgi Kristen awal.
postcolonial,Postcolonial theory examines the lasting cultural impact of imperial domination.,탈식민주의의,탈식민주의 이론은 제국 지배의 지속적인 문화적 영향을 검토한다.,ポストコロニアルの,ポストコロニアル理論は帝国主義的支配の持続的な文化的影響を検証する。,后殖民的,后殖民理论研究帝国统治的持久文化影响。,poscolonial,La teoría poscolonial examina el impacto cultural duradero de la dominación imperial.,hậu thuộc địa,Lý thuyết hậu thuộc địa xem xét tác động văn hóa lâu dài của sự thống trị đế quốc.,หลังอาณานิคม,ทฤษฎีหลังอาณานิคมตรวจสอบผลกระทบทางวัฒนธรรมที่ยั่งยืนของการครอบงำจักรวรรดิ,pascakolonial,Teori pascakolonial mengkaji dampak budaya yang bertahan lama dari dominasi kekaisaran.
rubric,The archaeological finds were classified under a new analytical rubric.,범주,고고학적 발견물은 새로운 분석적 범주로 분류되었다.,分類基準,その考古学的発見は新しい分析的分類基準の下で分類された。,标准,考古发现被归入新的分析标准之下。,rúbrica,Los hallazgos arqueológicos fueron clasificados bajo una nueva rúbrica analítica.,tiêu chí,Các phát hiện khảo cổ được phân loại theo tiêu chí phân tích mới.,หมวดหมู่,การค้นพบทางโบราณคดีถูกจัดหมวดหมู่ภายใต้กรอบการวิเคราะห์ใหม่,rubrik,Temuan arkeologis diklasifikasikan di bawah rubrik analitis baru.
sacrosanct,Freedom of artistic expression was considered sacrosanct by the Enlightenment thinkers.,신성불가침의,예술적 표현의 자유는 계몽주의 사상가들에 의해 신성불가침으로 여겨졌다.,神聖不可侵の,芸術的表現の自由は啓蒙思想家たちによって神聖不可侵と考えられていた。,神圣不可侵犯的,启蒙思想家认为艺术表达自由是神圣不可侵犯的。,sacrosanto,La libertad de expresión artística era considerada sacrosanta por los pensadores de la Ilustración.,bất khả xâm phạm,Tự do biểu đạt nghệ thuật được các nhà tư tưởng Khai sáng coi là bất khả xâm phạm.,ศักดิ์สิทธิ์,เสรีภาพในการแสดงออกทางศิลปะถูกมองว่าศักดิ์สิทธิ์โดยนักคิดยุคเรืองปัญญา,sakral,Kebebasan ekspresi artistik dianggap sakral oleh para pemikir Pencerahan.
apotheosis,The coronation ceremony represented the apotheosis of imperial power.,신격화,대관식은 황제 권력의 신격화를 나타냈다.,神格化,戴冠式は帝国権力の神格化を象徴した。,神化,加冕仪式代表了帝国权力的神化。,apoteosis,La ceremonia de coronación representó la apoteosis del poder imperial.,sự tôn vinh,Lễ đăng quang đại diện cho sự tôn vinh quyền lực đế quốc.,การยกย่อง,พิธีราชาภิเษกเป็นตัวแทนของการยกย่องอำนาจจักรวรรดิ,apotheosis,Upacara penobatan merupakan apotheosis kekuasaan kekaisaran.
chisel,The sculptor used a chisel to carve intricate details into the marble surface.,끌,조각가는 대리석 표면에 복잡한 세부 사항을 조각하기 위해 끌을 사용했다.,のみ,彫刻家はのみを使って大理石の表面に精巧なディテールを彫った。,凿子,雕塑家用凿子在大理石表面雕刻精细的细节。,cincel,El escultor usó un cincel para tallar detalles intrincados en la superficie de mármol.,đục,Nhà điêu khắc dùng đục để khắc các chi tiết tinh xảo trên bề mặt đá cẩm thạch.,สิ่ว,ประติมากรใช้สิ่วแกะสลักรายละเอียดที่ซับซ้อนบนผิวหินอ่อน,pahat,Pematung menggunakan pahat untuk mengukir detail rumit pada permukaan marmer.
autochthonous,The autochthonous peoples of the region maintain distinct cultural traditions.,토착의,그 지역의 토착 민족은 독특한 문화적 전통을 유지하고 있다.,先住の,その地域の先住民族は独自の文化的伝統を維持している。,原住民的,该地区的原住民保持着独特的文化传统。,autóctono,Los pueblos autóctonos de la región mantienen tradiciones culturales distintas.,bản địa,Các dân tộc bản địa của vùng duy trì các truyền thống văn hóa riêng biệt.,พื้นเมืองดั้งเดิม,ชนพื้นเมืองดั้งเดิมของภูมิภาครักษาประเพณีวัฒนธรรมที่เป็นเอกลักษณ์,autokton,Masyarakat autokton di wilayah tersebut mempertahankan tradisi budaya yang khas.
incunabulum,The library's collection of incunabula includes several Gutenberg-era volumes.,요람기 인쇄본,도서관의 요람기 인쇄본 소장품에는 구텐베르크 시대의 여러 책이 포함되어 있다.,揺籃期印刷本,図書館の揺籃期印刷本のコレクションにはグーテンベルク時代の数巻が含まれている。,摇篮本,图书馆的摇篮本收藏包括几本古登堡时代的书籍。,incunable,La colección de incunables de la biblioteca incluye varios volúmenes de la era Gutenberg.,ấn phẩm sơ khai,Bộ sưu tập ấn phẩm sơ khai của thư viện bao gồm nhiều cuốn sách từ thời Gutenberg.,หนังสือยุคแรก,คอลเลกชันหนังสือยุคแรกของห้องสมุดรวมถึงหนังสือหลายเล่มจากยุคกูเทนเบิร์ก,inkunabel,Koleksi inkunabel perpustakaan mencakup beberapa volume era Gutenberg.
palaeography,Palaeography enables scholars to date manuscripts by analysing handwriting styles.,고문서학,고문서학은 학자들이 필체 분석을 통해 필사본의 연대를 측정할 수 있게 한다.,古文書学,古文書学は学者が筆跡のスタイルを分析することで写本の年代を特定することを可能にする。,古文字学,古文字学使学者能够通过分析笔迹风格来确定手稿年代。,paleografía,La paleografía permite a los estudiosos datar manuscritos analizando los estilos de escritura.,cổ tự học,Cổ tự học cho phép các học giả xác định niên đại bản thảo bằng cách phân tích phong cách chữ viết.,วิชาอ่านอักษรโบราณ,วิชาอ่านอักษรโบราณช่วยให้นักวิชาการระบุอายุต้นฉบับโดยวิเคราะห์รูปแบบลายมือ,paleografi,Paleografi memungkinkan para sarjana menentukan tanggal manuskrip dengan menganalisis gaya tulisan tangan.
patrician,The patrician families of Rome controlled both political and cultural institutions.,귀족의,"로마의 귀족 가문은 정치적, 문화적 기관 모두를 지배했다.",貴族の,ローマの貴族の家族は政治的および文化的機関の両方を支配した。,贵族的,罗马贵族家庭控制着政治和文化机构。,patricio,Las familias patricias de Roma controlaban tanto las instituciones políticas como las culturales.,quý tộc,Các gia đình quý tộc La Mã kiểm soát cả thể chế chính trị lẫn văn hóa.,ชนชั้นสูง,ครอบครัวชนชั้นสูงของโรมควบคุมทั้งสถาบันทางการเมืองและวัฒนธรรม,bangsawan,Keluarga bangsawan Roma menguasai institusi politik dan budaya.
trope,The trope of the unreliable narrator has become a staple of modern fiction.,트로프,신뢰할 수 없는 화자의 트로프는 현대 소설의 필수 요소가 되었다.,比喩表現,信頼できない語り手という比喩表現は現代フィクションの定番となっている。,比喻,不可靠叙述者的比喻已成为现代小说的主要手法。,tropo,El tropo del narrador poco fiable se ha convertido en un elemento básico de la ficción moderna.,thủ pháp,Thủ pháp người kể chuyện không đáng tin đã trở thành yếu tố chủ đạo của tiểu thuyết hiện đại.,อุปลักษณ์,อุปลักษณ์ของผู้เล่าที่ไม่น่าเชื่อถือกลายเป็นส่วนสำคัญของนิยายสมัยใหม่,kiasan,Kiasan narator yang tidak dapat diandalkan telah menjadi pokok fiksi modern.
historiography,Modern historiography emphasizes the role of marginalized voices in shaping events.,역사서술,현대 역사서술은 사건 형성에서 소외된 목소리의 역할을 강조한다.,歴史叙述,現代の歴史叙述は出来事の形成における周縁化された声の役割を強調する。,历史编纂学,现代历史编纂学强调边缘化群体的声音在塑造事件中的作用。,historiografía,La historiografía moderna enfatiza el papel de las voces marginadas en la configuración de los eventos.,sử học,Sử học hiện đại nhấn mạnh vai trò của các tiếng nói bị gạt ra bên lề trong việc định hình sự kiện.,ประวัติศาสตร์นิพนธ์,ประวัติศาสตร์นิพนธ์สมัยใหม่เน้นบทบาทของเสียงที่ถูกกีดกันในการกำหนดเหตุการณ์,historiografi,Historiografi modern menekankan peran suara-suara terpinggirkan dalam membentuk peristiwa.
regalia,The coronation regalia symbolized the divine right of the sovereign.,왕실 의장,대관식 왕실 의장은 군주의 신성한 권리를 상징했다.,王位の象徴,戴冠式の王位の象徴は君主の神授の権利を象徴した。,王权标志,加冕礼的王权标志象征着君主的神圣权利。,insignias reales,Las insignias reales de la coronación simbolizaban el derecho divino del soberano.,vương miện,Các vương miện đăng quang tượng trưng cho quyền thần thánh của quân chủ.,เครื่องราชกกุธภัณฑ์,เครื่องราชกกุธภัณฑ์ในพิธีราชาภิเษกเป็นสัญลักษณ์ของสิทธิ์อันศักดิ์สิทธิ์ของพระมหากษัตริย์,regalia,Regalia penobatan melambangkan hak ilahi sang penguasa.
poignant,The poignant memoir captures the experience of displacement during wartime.,가슴 아픈,그 가슴 아픈 회고록은 전시 동안의 실향 경험을 포착한다.,痛切な,その痛切な回顧録は戦時中の避難の経験を捉えている。,令人心酸的,这部令人心酸的回忆录记录了战时流离失所的经历。,conmovedor,Las conmovedoras memorias capturan la experiencia del desplazamiento durante la guerra.,xúc động,Cuốn hồi ký xúc động ghi lại trải nghiệm ly hương trong thời chiến.,สะเทือนใจ,บันทึกความทรงจำที่สะเทือนใจจับภาพประสบการณ์การพลัดถิ่นในช่วงสงคราม,mengharukan,Memoar mengharukan ini menangkap pengalaman pengungsian selama masa perang.
artisan,Traditional artisans preserve centuries-old techniques of ceramic production.,장인,전통 장인들은 수세기 된 도자기 생산 기술을 보존한다.,職人,伝統的な職人は何世紀にもわたる陶器生産の技術を保存している。,工匠,传统工匠保存了数百年的陶瓷生产技术。,artesano,Los artesanos tradicionales preservan técnicas centenarias de producción cerámica.,nghệ nhân,Các nghệ nhân truyền thống bảo tồn kỹ thuật sản xuất gốm sứ hàng thế kỷ.,ช่างฝีมือ,ช่างฝีมือดั้งเดิมรักษาเทคนิคการผลิตเซรามิกที่มีมาหลายศตวรรษ,pengrajin,Para pengrajin tradisional melestarikan teknik produksi keramik berusia berabad-abad.
votive,The votive offerings discovered in the temple reveal the devotional practices of the populace.,봉헌의,사원에서 발견된 봉헌 제물은 대중의 헌신적 관행을 드러낸다.,奉納の,神殿で発見された奉納品は民衆の信仰実践を明らかにする。,还愿的,在寺庙中发现的还愿供品揭示了民众的虔诚习俗。,votivo,Las ofrendas votivas descubiertas en el templo revelan las prácticas devocionales de la población.,cúng dường,Các vật phẩm cúng dường được phát hiện trong đền cho thấy các thực hành tín ngưỡng của dân chúng.,บนบาน,ของถวายบนบานที่พบในวัดเผยให้เห็นการปฏิบัติทางศาสนาของประชาชน,votif,Persembahan votif yang ditemukan di kuil mengungkapkan praktik devosi masyarakat.
enshrined,The principle of artistic freedom is enshrined in the nation's constitution.,명문화된,예술적 자유의 원칙은 국가 헌법에 명문화되어 있다.,明記された,芸術の自由の原則は国の憲法に明記されている。,载入,艺术自由的原则被载入国家宪法。,consagrado,El principio de libertad artística está consagrado en la constitución de la nación.,ghi nhận,Nguyên tắc tự do nghệ thuật được ghi nhận trong hiến pháp quốc gia.,บรรจุ,หลักการเสรีภาพทางศิลปะถูกบรรจุไว้ในรัฐธรรมนูญของชาติ,diabadikan,Prinsip kebebasan artistik diabadikan dalam konstitusi negara.
spurious,The researcher dismissed the spurious correlation between the two variables.,허위의,연구자는 두 변수 간의 허위 상관관계를 기각했다.,偽りの,研究者は二つの変数間の偽りの相関を否定した。,虚假的,研究人员驳斥了两个变量之间的虚假相关性。,espurio,El investigador descartó la correlación espuria entre las dos variables.,giả tạo,Nhà nghiên cứu bác bỏ mối tương quan giả tạo giữa hai biến số.,เท็จ,นักวิจัยปฏิเสธความสัมพันธ์เท็จระหว่างตัวแปรทั้งสอง,palsu,Peneliti menolak korelasi palsu antara kedua variabel tersebut.
